E_1 / keV,n_1,Cs_137,Am-241,Co_57
1599.3,488,125,1,1
1602.6,489,133,0,0
1605.8,490,115,0,0
1609.1,491,118,0,2
1612.4,492,131,0,4
1615.7,493,132,0,6
1619,494,138,0,0
1622.2,495,108,0,2
1625.5,496,112,0,3
1628.8,497,115,0,2
1632.1,498,111,0,1
1635.3,499,109,0,0
1638.6,500,114,0,0
1641.9,501,120,0,1
1645.2,502,92,1,1
1648.4,503,98,0,0
1651.7,504,113,0,1
1655,505,89,0,1
1658.3,506,109,0,0
1661.6,507,92,0,0
1664.8,508,111,0,2
1668.1,509,90,0,1
1671.4,510,100,0,1
1674.7,511,97,0,3
1677.9,512,100,0,1
1681.2,513,91,0,1
1684.5,514,93,0,3
1687.8,515,75,0,1
1691,516,95,0,2
1694.3,517,93,1,2
1697.6,518,96,0,1
1700.9,519,79,0,3
1704.2,520,98,0,0
1707.4,521,98,0,2
1710.7,522,72,0,0
1714,523,83,0,1
1717.3,524,79,0,3
1720.5,525,86,0,1
1723.8,526,82,0,1
1727.1,527,73,0,1
1730.4,528,88,0,2
1733.7,529,81,0,2
1736.9,530,84,0,1
1740.2,531,85,0,3
1743.5,532,77,0,1
1746.8,533,82,0,4
1750,534,67,0,1
1753.3,535,65,0,0
1756.6,536,66,0,1
1759.9,537,72,0,1
1763.1,538,77,0,2
1766.4,539,71,0,2
1769.7,540,61,0,2
1773,541,76,1,2
1776.3,542,59,0,0
1779.5,543,67,0,1
1782.8,544,56,0,0
1786.1,545,72,0,2
1789.4,546,70,1,0
1792.6,547,58,0,0
1795.9,548,79,0,4
1799.2,549,57,1,0
1802.5,550,52,0,0
1805.8,551,57,0,0
1809,552,62,1,4
1812.3,553,61,0,1
1815.6,554,47,0,1
1818.9,555,65,0,3
1822.1,556,58,0,1
1825.4,557,57,0,1
1828.7,558,48,1,2
1832,559,52,0,1
1835.2,560,54,0,0
1838.5,561,64,0,1
1841.8,562,51,0,0
1845.1,563,46,0,2
1848.4,564,56,0,3
1851.6,565,56,0,2
1854.9,566,44,0,2
1858.2,567,39,0,2
1861.5,568,48,0,0
1864.7,569,53,1,1
1868,570,45,0,0
1871.3,571,49,0,0
1874.6,572,49,2,0
1877.9,573,34,1,1
1881.1,574,39,0,0
1884.4,575,46,0,0
1887.7,576,35,0,0
1891,577,40,0,0
1894.2,578,43,0,2
1897.5,579,45,0,0
1900.8,580,43,0,0
1904.1,581,48,0,0
1907.3,582,42,1,1
1910.6,583,37,0,0
1913.9,584,31,0,1
1917.2,585,25,0,1
1920.5,586,44,0,0
1923.7,587,37,0,2
1927,588,33,0,1
1930.3,589,28,0,0
1933.6,590,30,0,1
1936.8,591,39,0,1
1940.1,592,17,0,0
1943.4,593,34,0,1
1946.7,594,29,0,1
1950,595,31,0,0
1953.2,596,21,0,0
1956.5,597,36,0,2
1959.8,598,31,0,0
1963.1,599,33,0,0
1966.3,600,16,1,2
1969.6,601,16,0,0
1972.9,602,36,0,1
1976.2,603,23,0,1
1979.4,604,23,0,0
1982.7,605,17,0,0
1986,606,34,0,2
1989.3,607,34,0,1
1992.6,608,23,0,1
1995.8,609,28,0,0
1999.1,610,18,0,1
2002.4,611,17,0,0
2005.7,612,22,0,2
2008.9,613,20,0,0
2012.2,614,29,0,0
2015.5,615,26,1,1
2018.8,616,20,0,0
2022,617,17,0,1
2025.3,618,24,0,3
2028.6,619,21,0,0
2031.9,620,21,0,0
2035.2,621,17,0,0
2038.4,622,15,0,0
2041.7,623,22,0,1
2045,624,14,0,0
2048.3,625,9,0,0
2051.5,626,16,0,1
2054.8,627,14,0,1
2058.1,628,12,0,0
2061.4,629,17,0,1
2064.7,630,18,1,0
2067.9,631,9,0,0
2071.2,632,13,0,1
2074.5,633,12,0,1
2077.8,634,10,0,1
2081,635,8,0,3
2084.3,636,13,1,1
2087.6,637,11,0,1
2090.9,638,15,0,3
2094.1,639,17,0,1
2097.4,640,5,0,2
2100.7,641,9,0,2
2104,642,15,0,0
2107.3,643,9,0,0
2110.5,644,10,0,3
2113.8,645,10,0,0
2117.1,646,10,0,1
2120.4,647,7,0,0
2123.6,648,9,0,2
2126.9,649,11,0,1
2130.2,650,7,0,2
2133.5,651,2,0,0
2136.8,652,6,0,1
2140,653,8,0,0
2143.3,654,10,1,0
2146.6,655,8,0,0
2149.9,656,3,0,0
2153.1,657,7,0,0
2156.4,658,3,0,3
2159.7,659,5,0,1
2163,660,4,0,0
2166.2,661,6,0,1
2169.5,662,7,0,2
2172.8,663,4,0,0
2176.1,664,6,0,0
2179.4,665,8,0,1
2182.6,666,9,0,1
2185.9,667,11,0,1
2189.2,668,8,0,3
2192.5,669,6,0,0
2195.7,670,1,0,0
2199,671,4,0,0
2202.3,672,7,0,0
2205.6,673,7,0,0
2208.9,674,4,0,2
2212.1,675,7,0,2
2215.4,676,7,0,1
2218.7,677,3,0,0
2222,678,3,0,1
2225.2,679,3,1,0
2228.5,680,3,0,0
2231.8,681,8,0,3
2235.1,682,3,0,0
2238.3,683,4,0,0
2241.6,684,7,0,0
2244.9,685,5,0,0
2248.2,686,3,0,0
2251.5,687,3,0,0
2254.7,688,4,0,0
2258,689,3,0,0
2261.3,690,5,0,0
2264.6,691,5,1,0
2267.8,692,3,1,0
2271.1,693,5,0,0
2274.4,694,1,0,0
2277.7,695,0,0,0
2281,696,8,0,0
2284.2,697,1,0,1
2287.5,698,3,0,2
2290.8,699,2,0,0
2294.1,700,6,0,1
2297.3,701,7,0,0
2300.6,702,4,0,0
2303.9,703,1,0,0
2307.2,704,4,0,0
2310.4,705,2,0,1
2313.7,706,1,0,0
2317,707,3,0,1
2320.3,708,3,0,3
2323.6,709,4,0,0
2326.8,710,2,0,0
2330.1,711,3,0,0
2333.4,712,2,0,0
2336.7,713,1,1,1
2339.9,714,2,0,1
2343.2,715,4,0,1
2346.5,716,3,0,0
2349.8,717,5,1,0
2353,718,5,0,1
2356.3,719,2,0,1
2359.6,720,2,0,1
2362.9,721,3,0,0
2366.2,722,0,0,1
2369.4,723,1,0,0
2372.7,724,3,0,0
2376,725,0,0,1
2379.3,726,2,0,0
2382.5,727,4,2,1
2385.8,728,5,0,1
2389.1,729,2,0,0
2392.4,730,0,0,1
2395.7,731,1,1,1
2398.9,732,5,0,0
2402.2,733,1,0,0
2405.5,734,2,0,0
2408.8,735,3,0,1
2412,736,0,0,0
2415.3,737,0,0,0
2418.6,738,4,0,2
2421.9,739,2,0,1
2425.1,740,3,0,0
2428.4,741,2,0,1
2431.7,742,3,0,4
2435,743,2,0,2
2438.3,744,3,0,0
2441.5,745,1,0,0
2444.8,746,2,0,0
2448.1,747,1,0,2
2451.4,748,2,0,0
2454.6,749,0,0,0
2457.9,750,1,0,1
2461.2,751,1,0,1
2464.5,752,2,0,0
2467.8,753,2,1,0
2471,754,0,0,1
2474.3,755,3,0,0
2477.6,756,3,0,0
2480.9,757,1,0,0
2484.1,758,2,0,1
2487.4,759,0,0,0
2490.7,760,3,0,2
2494,761,0,1,0
2497.2,762,2,0,0
2500.5,763,1,0,0
2503.8,764,0,0,0
2507.1,765,1,0,0
2510.4,766,2,0,1
2513.6,767,1,0,0
2516.9,768,2,0,1
2520.2,769,2,0,0
2523.5,770,0,0,0
2526.7,771,1,0,0
2530,772,2,0,0
2533.3,773,0,0,1
2536.6,774,1,0,0
2539.9,775,1,0,1
2543.1,776,0,0,0
2546.4,777,0,0,0
2549.7,778,1,0,0
2553,779,0,0,0
2556.2,780,1,0,0
2559.5,781,1,0,0
2562.8,782,0,0,0
2566.1,783,1,0,0
2569.3,784,1,0,0
2572.6,785,1,0,0
2575.9,786,1,0,0
2579.2,787,1,0,0
2582.5,788,0,0,0
2585.7,789,3,0,0
2589,790,0,0,0
2592.3,791,1,0,0
2595.6,792,0,0,0
2598.8,793,0,0,0
2602.1,794,0,0,0
2605.4,795,0,0,0
2608.7,796,0,0,0
2612,797,3,0,0
2615.2,798,0,0,0
2618.5,799,2,0,0
2621.8,800,0,0,0
2625.1,801,0,0,0
2628.3,802,0,0,0
2631.6,803,0,0,0
2634.9,804,0,0,0
2638.2,805,1,0,0
2641.4,806,0,0,0
2644.7,807,0,0,0
2648,808,0,0,0
2651.3,809,0,0,0
2654.6,810,0,0,0
2657.8,811,0,0,0
2661.1,812,0,0,0
2664.4,813,1,0,0
2667.7,814,1,0,0
2670.9,815,0,0,0
2674.2,816,0,0,0
2677.5,817,1,0,0
2680.8,818,0,0,0
2684,819,0,0,0
2687.3,820,0,0,1
2690.6,821,0,0,0
2693.9,822,0,0,0
2697.2,823,0,0,0
2700.4,824,1,0,0
2703.7,825,1,0,0
2707,826,0,0,0
2710.3,827,0,0,0
2713.5,828,0,0,0
2716.8,829,0,0,0
2720.1,830,0,0,0
2723.4,831,0,0,0
2726.7,832,0,0,0
2729.9,833,0,0,0
2733.2,834,1,0,0
2736.5,835,2,0,0
2739.8,836,0,0,0
2743,837,1,0,0
2746.3,838,0,0,0
2749.6,839,0,0,0
2752.9,840,0,0,0
2756.1,841,0,0,0
2759.4,842,0,0,0
2762.7,843,0,0,0
2766,844,0,0,0
2769.3,845,1,0,0
2772.5,846,0,0,0
2775.8,847,0,0,0
2779.1,848,1,0,0
2782.4,849,0,0,0
2785.6,850,1,0,0
2788.9,851,0,0,0
2792.2,852,0,0,0
2795.5,853,0,0,0
2798.8,854,0,0,0
2802,855,0,0,0
2805.3,856,0,0,0
2808.6,857,0,0,0
2811.9,858,0,0,0
2815.1,859,0,0,0
2818.4,860,0,0,0
2821.7,861,0,0,0
2825,862,0,0,0
2828.2,863,0,0,0
2831.5,864,0,0,0
2834.8,865,0,0,0
2838.1,866,0,0,0
2841.4,867,0,0,0
2844.6,868,0,0,0
2847.9,869,1,0,0
2851.2,870,0,0,0
2854.5,871,0,0,0
2857.7,872,1,0,0
2861,873,0,0,0
2864.3,874,0,0,0
2867.6,875,0,0,0
2870.9,876,0,0,0
2874.1,877,0,0,0
2877.4,878,0,0,0
2880.7,879,0,0,0
2884,880,0,0,0
2887.2,881,0,0,0
2890.5,882,0,0,0
2893.8,883,0,0,0
2897.1,884,0,0,0
2900.3,885,0,0,0
2903.6,886,0,0,0
2906.9,887,0,0,0
2910.2,888,0,0,0
2913.5,889,0,0,0
2916.7,890,0,0,0
2920,891,0,0,0
2923.3,892,0,0,1
2926.6,893,0,0,0
2929.8,894,0,0,0
2933.1,895,0,0,0
2936.4,896,0,0,0
2939.7,897,0,0,0
2943,898,0,0,0
2946.2,899,0,0,0
2949.5,900,0,0,0
2952.8,901,0,0,0
2956.1,902,0,0,0
2959.3,903,0,0,0
2962.6,904,0,0,1
2965.9,905,0,0,0
2969.2,906,0,0,0
2972.4,907,0,0,0
2975.7,908,0,0,0
2979,909,0,0,0
2982.3,910,0,0,0
2985.6,911,0,0,0
2988.8,912,0,0,0
2992.1,913,0,0,0
2995.4,914,0,0,0
2998.7,915,0,0,0
3001.9,916,0,0,0
3005.2,917,0,0,0
3008.5,918,0,0,0
3011.8,919,0,0,0
3015,920,0,0,0
3018.3,921,0,0,0
3021.6,922,1,0,0
3024.9,923,0,0,0
3028.2,924,0,0,0
3031.4,925,1,0,0
3034.7,926,0,0,0
3038,927,0,0,1
3041.3,928,0,0,0
3044.5,929,0,0,0
3047.8,930,0,0,0
3051.1,931,0,0,0
3054.4,932,0,0,0
3057.7,933,0,0,0
3060.9,934,0,0,0
3064.2,935,0,0,0
3067.5,936,0,0,0
3070.8,937,0,0,0
3074,938,0,0,0
3077.3,939,0,0,0
3080.6,940,0,0,0
3083.9,941,0,0,0
3087.1,942,0,0,0
3090.4,943,0,0,0
3093.7,944,0,0,1
3097,945,0,0,0
3100.3,946,0,0,0
3103.5,947,1,0,0
3106.8,948,0,0,1
3110.1,949,0,0,0
3113.4,950,0,0,0
3116.6,951,0,0,0
3119.9,952,0,0,0
3123.2,953,0,0,0
3126.5,954,0,0,0
3129.8,955,0,0,0
3133,956,0,0,0
3136.3,957,0,0,0
3139.6,958,0,0,0
3142.9,959,0,0,0
3146.1,960,0,0,2
3149.4,961,0,0,0
3152.7,962,0,0,0
3156,963,0,0,0
3159.2,964,1,0,0
3162.5,965,0,0,0
3165.8,966,0,0,0
3169.1,967,0,0,0
3172.4,968,0,0,0
3175.6,969,0,0,0
3178.9,970,0,0,0
3182.2,971,0,0,0
3185.5,972,0,0,0
3188.7,973,0,0,0
3192,974,0,0,0
3195.3,975,0,0,0
3198.6,976,0,0,0
3201.9,977,0,0,0
3205.1,978,0,0,0
3208.4,979,0,0,0
3211.7,980,0,0,0
3215,981,0,0,0
3218.2,982,0,0,0
3221.5,983,0,0,0
3224.8,984,0,0,0
3228.1,985,0,0,0
3231.3,986,0,0,0
3234.6,987,0,0,0
