n_1,N_1
1126,0
1127,0
1128,0
1129,1
1130,0
1131,2
1132,0
1133,1
1134,1
1135,0
1136,1
1137,1
1138,1
1139,0
1140,0
1141,1
1142,0
1143,1
1144,1
1145,1
1146,0
1147,2
1148,0
1149,2
1150,1
1151,1
1152,0
1153,0
1154,0
1155,0
1156,0
1157,2
1158,1
1159,1
1160,1
1161,0
1162,0
1163,0
1164,2
1165,4
1166,1
1167,0
1168,0
1169,1
1170,0
1171,0
1172,0
1173,2
1174,1
1175,0
1176,0
1177,0
1178,3
1179,0
1180,1
1181,2
1182,0
1183,2
1184,1
1185,0
1186,0
1187,0
1188,0
1189,1
1190,0
1191,1
1192,0
1193,0
1194,0
1195,2
1196,2
1197,0
1198,0
1199,0
1200,1
1201,0
1202,0
1203,0
1204,2
1205,1
1206,2
1207,0
1208,0
1209,0
1210,0
1211,1
1212,0
1213,1
1214,0
1215,0
1216,1
1217,0
1218,1
1219,1
1220,0
1221,0
1222,3
1223,0
1224,3
1225,0
1226,1
1227,1
1228,0
1229,0
1230,0
1231,0
1232,3
1233,0
1234,1
1235,1
1236,0
1237,0
1238,1
1239,1
1240,0
1241,0
1242,0
1243,0
1244,0
1245,0
1246,0
1247,0
1248,1
1249,3
1250,1
1251,0
1252,0
1253,0
1254,0
1255,0
1256,2
1257,0
1258,2
1259,2
1260,0
1261,2
1262,2
1263,0
1264,2
1265,0
1266,0
1267,0
1268,1
1269,0
1270,1
1271,1
1272,0
1273,0
1274,1
1275,1
1276,0
1277,1
1278,2
1279,3
1280,0
1281,1
1282,1
1283,0
1284,0
1285,0
1286,1
1287,0
1288,0
1289,1
1290,0
1291,0
1292,0
1293,2
1294,1
1295,1
1296,0
1297,0
1298,1
1299,0
1300,0
1301,0
1302,0
1303,1
1304,1
1305,0
1306,0
1307,0
1308,2
1309,0
1310,0
1311,0
1312,1
1313,1
1314,0
1315,1
1316,1
1317,1
1318,0
1319,0
1320,2
1321,0
1322,0
1323,1
1324,0
1325,2
1326,1
1327,1
1328,1
1329,0
1330,0
1331,1
1332,0
1333,1
1334,1
1335,1
1336,0
1337,0
1338,0
1339,0
1340,1
1341,0
1342,0
1343,1
1344,0
1345,0
1346,0
1347,0
1348,2
1349,0
1350,0
1351,0
1352,0
1353,0
1354,0
1355,1
1356,0
1357,0
1358,1
1359,0
1360,0
1361,1
1362,1
1363,1
1364,1
1365,0
1366,0
1367,0
1368,0
1369,1
1370,0
1371,0
1372,2
1373,0
1374,2
1375,1
1376,2
1377,0
1378,2
1379,1
1380,1
1381,0
1382,0
1383,1
1384,0
1385,0
1386,0
1387,0
1388,0
1389,2
1390,2
1391,2
1392,0
1393,1
1394,0
1395,1
1396,0
1397,1
1398,2
1399,0
1400,1
1401,1
1402,0
1403,1
1404,0
1405,2
1406,0
1407,0
1408,0
1409,1
1410,0
1411,0
1412,0
1413,0
1414,0
1415,0
1416,1
1417,0
1418,0
1419,0
1420,0
1421,0
1422,0
1423,2
1424,0
1425,0
1426,0
1427,0
1428,0
1429,2
1430,1
1431,2
1432,1
1433,1
1434,0
1435,2
1436,0
1437,0
1438,1
1439,2
1440,1
1441,1
1442,1
1443,0
1444,0
1445,0
1446,0
1447,0
1448,1
1449,0
1450,2
1451,0
1452,0
1453,0
1454,1
1455,1
1456,1
1457,0
1458,0
1459,1
1460,0
1461,0
1462,1
1463,0
1464,1
1465,1
1466,1
1467,0
1468,2
1469,0
1470,0
1471,3
1472,1
1473,0
1474,0
1475,1
1476,1
1477,1
1478,0
1479,0
1480,0
1481,0
1482,0
1483,0
1484,0
1485,0
1486,1
1487,0
1488,0
1489,2
1490,0
1491,1
1492,0
1493,0
1494,0
1495,0
1496,3
1497,0
1498,0
1499,0
1500,0
1501,0
1502,0
1503,1
1504,1
1505,3
1506,0
1507,0
1508,1
1509,0
1510,1
1511,0
1512,1
1513,2
1514,0
1515,1
1516,0
1517,1
1518,0
1519,0
1520,2
1521,0
1522,1
1523,1
1524,0
1525,1
1526,0
1527,1
1528,0
1529,1
1530,1
1531,0
1532,0
1533,0
1534,1
1535,0
1536,0
1537,0
1538,1
1539,0
1540,1
1541,1
1542,0
1543,2
1544,0
1545,0
1546,0
1547,0
1548,0
1549,1
1550,0
1551,0
1552,0
1553,0
1554,0
1555,1
1556,2
1557,0
1558,0
1559,1
1560,0
1561,1
1562,1
1563,1
1564,1
1565,0
1566,1
1567,2
1568,0
1569,0
1570,1
1571,0
1572,1
1573,0
1574,0
1575,0
1576,1
1577,1
1578,0
1579,0
1580,1
1581,0
1582,0
1583,2
1584,0
1585,1
1586,0
1587,0
1588,0
1589,2
1590,0
1591,0
1592,0
1593,1
1594,0
1595,0
1596,3
1597,0
1598,0
1599,1
1600,0
1601,1
1602,1
1603,1
1604,0
1605,0
1606,0
1607,0
1608,0
1609,0
1610,0
1611,1
1612,0
1613,0
1614,2
1615,1
1616,2
1617,0
1618,0
1619,1
1620,0
1621,0
1622,1
1623,4
1624,1
1625,2
1626,1
1627,0
1628,0
1629,0
1630,0
1631,2
1632,0
1633,1
1634,0
1635,1
1636,1
1637,0
1638,1
1639,1
1640,1
1641,0
1642,0
1643,0
1644,1
1645,0
1646,0
1647,1
1648,0
1649,0
1650,0
1651,3
1652,0
1653,0
1654,0
1655,0
1656,1
1657,0
1658,0
1659,1
1660,0
1661,3
1662,1
1663,1
1664,0
1665,1
1666,0
1667,2
1668,1
1669,0
1670,0
1671,1
1672,1
1673,2
1674,0
1675,0
1676,1
1677,1
1678,0
1679,0
1680,1
1681,1
1682,0
1683,1
1684,0
1685,0
1686,0
1687,0
1688,1
1689,2
1690,1
1691,1
1692,1
1693,0
1694,0
1695,1
1696,1
1697,0
1698,0
1699,0
1700,1
1701,1
1702,0
1703,1
1704,2
1705,1
1706,0
1707,1
1708,0
1709,0
1710,0
1711,0
1712,0
1713,0
1714,1
1715,0
1716,0
1717,0
1718,1
1719,0
1720,0
1721,1
1722,0
1723,0
1724,0
1725,1
1726,1
1727,1
1728,1
1729,1
1730,1
1731,0
1732,1
1733,2
1734,0
1735,2
1736,0
1737,1
1738,0
1739,0
1740,1
1741,0
1742,1
1743,1
1744,1
1745,0
1746,0
1747,0
1748,0
1749,0
1750,0
1751,0
1752,0
1753,2
1754,0
1755,2
1756,1
1757,0
1758,0
1759,1
1760,1
1761,0
1762,0
1763,0
1764,1
1765,0
1766,2
1767,0
1768,0
1769,0
1770,0
1771,1
1772,2
1773,0
1774,0
1775,0
1776,0
1777,2
1778,0
1779,0
1780,0
1781,1
1782,0
1783,0
1784,0
1785,0
1786,0
1787,3
1788,0
1789,0
1790,0
1791,0
1792,0
1793,0
1794,0
1795,0
1796,0
1797,1
1798,0
1799,0
1800,1
1801,0
1802,0
1803,1
1804,0
1805,1
1806,0
1807,0
1808,0
1809,0
1810,1
1811,0
1812,0
1813,0
1814,0
1815,0
1816,0
1817,1
1818,0
1819,2
1820,2
1821,0
1822,0
1823,0
1824,0
1825,0
1826,0
1827,0
1828,1
1829,0
1830,1
1831,0
1832,0
1833,0
1834,1
1835,1
1836,2
1837,2
1838,0
1839,0
1840,0
1841,1
1842,0
1843,0
1844,1
1845,0
1846,0
1847,2
1848,0
1849,0
1850,1
1851,1
1852,0
1853,0
1854,1
1855,0
1856,1
1857,1
1858,0
1859,3
1860,0
1861,0
1862,1
1863,0
1864,0
1865,0
1866,0
1867,1
1868,1
1869,2
1870,0
1871,1
1872,1
1873,0
1874,0
1875,0
1876,2
1877,0
1878,1
1879,0
1880,0
1881,0
1882,1
1883,0
1884,1
1885,0
1886,0
1887,2
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,1
1896,0
1897,1
1898,0
1899,0
1900,1
1901,0
1902,1
1903,0
1904,0
1905,1
1906,0
1907,0
1908,0
1909,1
1910,1
1911,0
1912,0
1913,0
1914,0
1915,1
1916,0
1917,0
1918,0
1919,0
1920,1
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,1
1928,2
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,1
1936,0
1937,0
1938,1
1939,2
1940,0
1941,0
1942,0
1943,0
1944,1
1945,0
1946,0
1947,0
1948,0
1949,1
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,2
1962,0
1963,0
1964,1
1965,0
1966,0
1967,0
1968,1
1969,0
1970,0
1971,1
1972,0
1973,0
1974,0
1975,0
1976,2
1977,0
1978,0
1979,0
1980,0
1981,1
1982,0
1983,0
1984,1
1985,0
1986,0
1987,1
1988,1
1989,0
1990,0
1991,2
1992,0
1993,0
1994,0
1995,0
1996,1
1997,0
1998,0
1999,0
2000,1
2001,1
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
2013,0
2014,1
2015,0
2016,0
2017,0
2018,0
2019,1
2020,0
2021,0
2022,0
2023,0
2024,0
2025,0
2026,0
2027,0
2028,1
2029,0
2030,0
2031,0
