n_1,N_1
532,2
533,2
534,3
535,1
536,7
537,1
538,0
539,1
540,1
541,4
542,4
543,2
544,1
545,1
546,3
547,0
548,4
549,1
550,7
551,0
552,1
553,2
554,4
555,2
556,1
557,4
558,3
559,1
560,1
561,2
562,1
563,2
564,3
565,0
566,1
567,4
568,3
569,1
570,5
571,2
572,2
573,1
574,3
575,5
576,2
577,3
578,4
579,3
580,1
581,2
582,2
583,3
584,4
585,3
586,1
587,3
588,3
589,0
590,3
591,1
592,3
593,5
594,0
595,4
596,0
597,2
598,2
599,3
600,5
601,2
602,0
603,5
604,3
605,5
606,2
607,2
608,2
609,3
610,4
611,2
612,4
613,2
614,5
615,3
616,3
617,4
618,2
619,4
620,3
621,1
622,2
623,4
624,2
625,2
626,1
627,2
628,7
629,2
630,3
631,5
632,3
633,3
634,2
635,0
636,4
637,3
638,0
639,0
640,5
641,3
642,3
643,0
644,2
645,1
646,6
647,2
648,2
649,1
650,3
651,1
652,5
653,3
654,1
655,1
656,4
657,2
658,2
659,3
660,2
661,1
662,4
663,2
664,3
665,3
666,2
667,4
668,2
669,2
670,1
671,1
672,3
673,4
674,0
675,0
676,1
677,6
678,4
679,4
680,0
681,3
682,1
683,2
684,0
685,2
686,1
687,0
688,2
689,3
690,1
691,5
692,1
693,0
694,0
695,1
696,1
697,0
698,3
699,3
700,2
701,1
702,3
703,2
704,5
705,1
706,2
707,2
708,2
709,1
710,0
711,3
712,1
713,0
714,3
715,1
716,1
717,2
718,3
719,1
720,2
721,1
722,2
723,2
724,3
725,0
726,3
727,3
728,1
729,5
730,5
731,2
732,3
733,3
734,0
735,1
736,0
737,1
738,4
739,1
740,1
741,0
742,1
743,2
744,2
745,1
746,1
747,1
748,3
749,2
750,3
751,2
752,0
753,3
754,2
755,1
756,1
757,1
758,2
759,1
760,2
761,2
762,0
763,0
764,0
765,1
766,2
767,2
768,0
769,1
770,2
771,0
772,1
773,0
774,1
775,0
776,3
777,0
778,3
779,1
780,0
781,1
782,1
783,1
784,0
785,2
786,0
787,2
788,0
789,1
790,1
791,6
792,1
793,0
794,3
795,1
796,1
797,1
798,0
799,2
800,3
801,2
802,3
803,1
804,0
805,2
806,3
807,3
808,2
809,2
810,1
811,1
812,0
813,3
814,2
815,1
816,3
817,0
818,0
819,1
820,1
821,3
822,1
823,3
824,3
825,0
826,2
827,1
828,1
829,1
830,2
831,1
832,1
833,2
834,2
835,0
836,2
837,0
838,1
839,1
840,3
841,1
842,0
843,1
844,1
845,0
846,1
847,1
848,0
849,2
850,2
851,1
852,1
853,0
854,0
855,2
856,2
857,2
858,0
859,0
860,1
861,0
862,0
863,4
864,0
865,2
866,1
867,0
868,1
869,1
870,3
871,2
872,2
873,1
874,0
875,0
876,3
877,1
878,0
879,0
880,2
881,1
882,2
883,1
884,1
885,1
886,2
887,0
888,2
889,1
890,1
891,0
892,1
893,0
894,1
895,1
896,2
897,5
898,1
899,1
900,1
901,1
902,1
903,4
904,0
905,3
906,1
907,1
908,0
909,1
910,1
911,0
912,0
913,0
914,3
915,0
916,0
917,0
918,0
919,0
920,0
921,3
922,2
923,0
924,2
925,1
926,1
927,1
928,0
929,1
930,1
931,1
932,2
933,2
934,0
935,1
936,0
937,1
938,4
939,1
940,1
941,1
942,1
943,0
944,1
945,3
946,1
947,1
948,1
949,0
950,1
951,2
952,1
953,0
954,0
955,1
956,0
957,3
958,0
959,1
960,0
961,3
962,0
963,1
964,1
965,1
966,2
967,3
968,2
969,0
970,0
971,1
972,0
973,4
974,2
975,2
976,0
977,1
978,1
979,0
980,0
981,1
982,1
983,0
984,2
985,2
986,2
987,1
988,0
989,2
990,2
991,2
992,2
993,0
994,0
995,1
996,1
997,1
998,1
999,0
1000,0
1001,1
1002,1
1003,1
1004,0
1005,0
1006,1
1007,0
1008,1
1009,0
1010,3
1011,0
1012,0
1013,0
1014,0
1015,1
1016,1
1017,0
1018,0
1019,1
1020,1
1021,0
1022,0
1023,2
1024,0
1025,0
1026,0
1027,0
1028,0
1029,0
1030,0
1031,1
1032,2
1033,3
1034,1
1035,1
1036,0
1037,0
1038,0
1039,1
1040,1
1041,0
1042,0
1043,1
1044,1
1045,1
1046,1
1047,3
1048,0
1049,1
1050,2
1051,1
1052,2
1053,2
1054,1
1055,2
1056,2
1057,2
1058,1
1059,1
1060,1
1061,1
1062,1
1063,2
1064,2
1065,2
1066,0
1067,0
1068,3
1069,0
1070,0
1071,2
1072,0
1073,2
1074,0
1075,1
1076,1
1077,0
1078,0
1079,1
1080,0
1081,1
1082,3
1083,1
1084,2
1085,3
1086,2
1087,0
1088,0
1089,1
1090,1
1091,0
1092,1
1093,1
1094,0
1095,3
1096,0
1097,2
1098,0
1099,2
1100,0
1101,0
1102,2
1103,1
1104,0
1105,0
1106,0
1107,0
1108,1
1109,0
1110,0
1111,1
1112,1
1113,0
1114,1
1115,1
1116,1
1117,0
1118,0
1119,2
1120,2
1121,0
1122,1
1123,1
1124,0
1125,0
1126,0
1127,1
1128,1
1129,0
1130,0
1131,2
1132,0
1133,1
1134,0
1135,1
1136,2
1137,2
1138,0
1139,1
1140,1
1141,1
1142,0
1143,0
1144,2
1145,0
1146,1
1147,1
1148,0
1149,0
1150,0
1151,0
1152,1
1153,0
1154,1
1155,0
1156,0
1157,1
1158,0
1159,0
1160,0
1161,0
1162,0
1163,2
1164,2
1165,0
1166,0
1167,1
1168,1
1169,0
1170,0
1171,0
1172,0
1173,0
1174,0
1175,3
1176,1
1177,1
1178,1
1179,0
1180,1
1181,0
1182,0
1183,0
1184,1
1185,1
1186,1
1187,3
1188,1
1189,0
1190,1
1191,0
1192,1
1193,0
1194,2
1195,0
1196,0
1197,0
1198,1
1199,0
1200,0
1201,0
1202,2
1203,2
1204,0
1205,2
1206,0
1207,0
1208,0
1209,1
1210,0
1211,2
1212,1
1213,0
1214,0
1215,0
1216,0
1217,1
1218,1
1219,1
1220,0
1221,0
1222,1
1223,0
1224,0
1225,2
1226,0
1227,0
1228,0
1229,0
1230,1
1231,1
1232,0
1233,0
1234,0
1235,0
1236,2
1237,0
1238,1
1239,1
1240,3
1241,0
1242,0
1243,2
1244,0
1245,0
1246,0
1247,2
1248,2
1249,1
1250,2
1251,0
1252,1
1253,0
1254,1
1255,0
1256,1
1257,1
1258,3
1259,0
1260,1
1261,1
1262,0
1263,0
1264,2
1265,1
1266,0
1267,2
1268,0
1269,0
1270,0
1271,0
1272,0
1273,0
1274,0
1275,0
1276,1
1277,0
1278,0
1279,0
1280,0
1281,0
1282,0
1283,1
1284,0
1285,0
1286,2
1287,0
1288,0
1289,0
1290,3
1291,0
1292,0
1293,1
1294,2
1295,0
1296,0
1297,0
1298,0
1299,0
1300,0
1301,0
1302,0
1303,0
1304,0
1305,0
1306,1
1307,0
1308,2
1309,0
1310,0
1311,1
1312,1
1313,1
1314,1
1315,2
1316,0
1317,0
1318,1
1319,1
1320,0
1321,0
1322,1
1323,2
1324,0
1325,0
1326,0
1327,0
1328,1
1329,1
1330,1
1331,0
1332,3
1333,1
1334,1
1335,0
1336,0
1337,1
1338,1
1339,0
1340,0
1341,2
1342,0
1343,0
1344,0
1345,1
1346,0
1347,0
1348,1
1349,2
1350,0
1351,0
1352,0
1353,0
1354,0
1355,1
1356,1
1357,1
1358,1
1359,0
1360,0
1361,3
1362,0
1363,0
1364,1
1365,0
1366,0
1367,0
1368,1
1369,0
1370,2
1371,0
1372,2
1373,0
1374,0
1375,0
1376,0
1377,0
1378,0
1379,0
1380,1
1381,1
1382,1
1383,2
1384,0
1385,0
1386,0
1387,1
1388,0
1389,1
1390,0
1391,0
1392,1
1393,2
1394,3
1395,1
1396,1
1397,1
1398,1
1399,1
1400,0
1401,0
1402,1
1403,0
1404,0
1405,0
1406,3
1407,1
1408,1
1409,0
1410,1
1411,2
1412,0
1413,0
1414,0
1415,1
1416,0
1417,0
1418,0
1419,1
1420,3
1421,0
1422,1
1423,0
1424,0
1425,1
1426,1
1427,1
1428,0
1429,0
1430,1
1431,0
1432,0
1433,0
1434,0
1435,1
1436,1
1437,1
1438,0
1439,2
1440,0
1441,0
1442,1
1443,1
1444,1
1445,1
1446,1
1447,1
1448,0
1449,0
1450,1
1451,0
1452,0
1453,0
1454,0
1455,1
1456,3
1457,0
1458,0
1459,1
1460,1
1461,1
1462,0
1463,1
1464,0
1465,0
1466,0
1467,0
1468,0
1469,0
1470,0
1471,2
1472,0
1473,1
1474,0
1475,0
1476,0
1477,0
1478,0
1479,0
1480,0
1481,0
1482,1
1483,0
1484,0
1485,0
1486,1
1487,2
1488,0
1489,3
1490,1
1491,1
1492,1
1493,0
1494,2
1495,0
1496,1
1497,2
1498,0
1499,0
1500,0
1501,0
1502,1
1503,1
1504,0
1505,2
1506,1
1507,2
1508,0
1509,0
1510,0
1511,2
1512,1
1513,2
1514,1
1515,1
1516,1
1517,2
1518,1
1519,0
1520,0
1521,0
1522,1
1523,1
1524,0
1525,0
1526,1
1527,0
1528,0
1529,0
1530,1
1531,1
1532,0
1533,0
1534,0
1535,1
1536,0
1537,0
1538,1
1539,0
1540,0
1541,0
1542,0
1543,0
1544,0
1545,0
1546,2
1547,0
1548,0
1549,0
1550,0
1551,1
1552,1
1553,0
1554,0
1555,0
1556,0
1557,0
1558,0
1559,1
1560,0
1561,0
1562,2
1563,0
1564,0
1565,0
1566,0
1567,0
1568,1
1569,1
1570,0
1571,1
1572,2
1573,0
1574,0
1575,0
1576,0
1577,1
1578,1
1579,1
1580,1
1581,1
1582,1
1583,0
1584,0
1585,3
1586,0
1587,0
1588,1
1589,0
1590,0
1591,0
1592,1
1593,0
1594,0
1595,1
1596,0
1597,0
1598,1
1599,0
1600,0
1601,0
1602,0
1603,0
1604,0
1605,1
1606,0
1607,3
1608,0
1609,0
1610,0
1611,3
1612,2
1613,0
1614,0
1615,2
1616,0
1617,0
1618,1
1619,0
1620,0
1621,1
1622,0
1623,1
1624,0
1625,2
1626,0
1627,1
1628,0
1629,0
1630,0
1631,0
1632,0
1633,0
1634,1
1635,0
1636,0
1637,2
1638,0
1639,1
1640,0
1641,0
1642,0
1643,1
1644,0
1645,1
1646,1
1647,0
1648,0
1649,1
1650,0
1651,0
1652,0
1653,1
1654,1
1655,1
1656,0
1657,1
1658,1
1659,0
1660,0
1661,0
1662,1
1663,0
1664,0
1665,1
1666,2
1667,0
1668,0
1669,1
1670,0
1671,0
1672,0
1673,3
1674,0
1675,1
1676,0
1677,0
1678,0
1679,1
1680,2
1681,0
1682,0
1683,0
1684,0
1685,1
1686,0
1687,0
1688,1
1689,0
1690,2
1691,1
1692,0
1693,0
1694,2
1695,0
1696,0
1697,0
1698,0
1699,0
1700,0
1701,1
1702,0
1703,0
1704,0
1705,1
1706,1
1707,0
1708,1
1709,0
1710,2
1711,0
1712,0
1713,0
1714,1
1715,1
1716,0
1717,0
1718,0
1719,1
1720,0
1721,0
1722,2
1723,0
1724,0
1725,0
1726,1
1727,1
1728,1
1729,0
1730,0
1731,0
1732,1
1733,0
1734,0
1735,1
1736,1
1737,0
1738,0
1739,0
1740,2
1741,0
1742,0
1743,0
1744,1
1745,0
1746,0
1747,1
1748,1
1749,1
1750,0
1751,1
1752,1
1753,0
1754,0
1755,1
1756,0
1757,0
1758,1
1759,0
1760,0
1761,0
1762,0
1763,0
1764,1
1765,0
1766,0
1767,0
1768,0
1769,0
1770,1
1771,0
1772,0
1773,1
1774,1
1775,0
1776,0
1777,0
1778,2
1779,0
1780,1
1781,0
1782,0
1783,1
1784,1
1785,0
1786,1
1787,0
1788,0
1789,1
1790,1
1791,1
1792,0
1793,0
1794,0
1795,1
1796,0
1797,1
1798,0
1799,1
1800,1
1801,0
1802,0
1803,2
1804,2
1805,1
1806,0
1807,0
1808,1
1809,1
1810,0
1811,0
1812,1
1813,0
1814,0
1815,1
1816,0
1817,0
1818,0
1819,0
1820,0
1821,0
1822,0
1823,1
1824,0
1825,0
1826,1
1827,2
1828,0
1829,1
1830,0
1831,2
1832,0
1833,0
1834,0
1835,0
1836,0
1837,0
1838,0
1839,0
1840,0
1841,0
1842,1
1843,1
1844,0
1845,1
1846,0
1847,1
1848,1
1849,0
1850,0
1851,0
1852,0
1853,1
1854,1
1855,1
1856,1
1857,0
1858,0
1859,0
1860,0
1861,1
1862,0
1863,1
1864,1
1865,0
1866,0
1867,0
1868,0
1869,1
1870,0
1871,1
1872,0
1873,0
1874,0
1875,0
1876,0
1877,0
1878,3
1879,0
1880,1
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,3
1891,1
1892,1
1893,0
1894,0
1895,0
1896,1
1897,0
1898,1
1899,0
1900,2
1901,0
1902,1
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,1
1912,0
1913,0
1914,1
1915,1
1916,0
1917,0
1918,0
1919,0
1920,1
1921,1
1922,2
1923,0
1924,1
1925,0
1926,0
1927,0
1928,0
1929,0
1930,2
1931,0
1932,0
1933,0
1934,0
1935,0
1936,2
1937,0
1938,0
1939,0
1940,0
1941,1
1942,1
1943,2
1944,0
1945,1
1946,0
1947,1
1948,1
1949,0
1950,0
1951,0
1952,0
1953,3
1954,1
1955,0
1956,0
1957,0
1958,0
1959,0
1960,1
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,1
1970,0
1971,0
1972,0
1973,0
1974,0
1975,1
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,1
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,1
1993,0
1994,0
1995,0
1996,0
1997,0
1998,1
1999,1
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,1
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
2013,0
2014,1
2015,1
2016,1
2017,0
2018,1
2019,0
2020,0
2021,0
2022,0
2023,1
2024,0
2025,1
2026,0
2027,0
2028,0
2029,0
2030,0
2031,2
2032,1
2033,0
2034,0
2035,1
2036,0
2037,0
2038,0
2039,0
2040,0
2041,1
2042,1
2043,0
2044,0
2045,0
2046,1
2047,37
