E_1 / keV,Cu Plate,Mo Source,Ag Plate,Zr Plate,Zn Plate,Ni Plate,Fe Plate,FeCr Alloy Plate,Tin Maybe Plate,Titanium Plate,Cu Maybe,Tin Maybe Plate,Mo Plate
16.1,0,477,2,359,0,1,0,0,2,0,3,3,3
16.2,0,489,0,255,0,0,0,0,2,0,2,3,2
16.3,0,458,0,171,0,0,0,0,1,1,2,2,2
16.4,0,484,1,70,1,0,1,0,1,0,1,4,0
16.5,0,531,2,22,0,0,0,0,0,0,1,1,1
16.59,0,518,0,7,0,1,0,1,1,0,1,0,3
16.69,0,545,1,1,0,0,0,1,1,1,2,3,6
16.79,0,632,1,2,0,2,1,0,0,0,0,1,4
16.89,0,808,1,1,0,0,1,0,0,0,2,4,7
16.99,1,1045,0,5,2,1,0,0,0,0,1,0,3
17.09,0,1386,2,1,1,0,1,1,0,1,4,0,4
17.18,0,1734,1,2,1,0,0,1,0,0,2,0,12
17.28,0,2378,1,1,0,0,1,0,0,2,3,3,15
17.38,0,2842,3,1,2,0,0,2,4,0,2,4,31
17.48,0,3041,2,2,0,0,0,1,3,1,3,3,73
17.58,0,2906,2,13,0,0,1,0,1,1,2,7,144
17.68,0,2463,2,18,1,0,2,2,3,0,4,16,208
17.78,0,1803,1,37,1,0,1,1,3,1,5,16,207
17.87,0,1172,4,41,0,2,1,2,3,2,1,7,203
17.97,0,795,1,36,0,1,0,4,1,0,5,9,109
18.07,0,638,3,51,0,0,1,0,1,2,2,4,45
18.17,0,527,0,37,0,0,0,0,1,1,1,6,21
18.27,0,532,0,16,0,1,0,0,1,0,0,1,6
18.37,0,504,1,11,0,0,0,0,0,0,2,2,0
18.46,0,568,2,9,0,0,0,0,0,1,1,1,0
18.56,0,525,0,1,0,0,0,0,0,0,1,2,1
18.66,0,503,0,0,0,0,1,0,0,0,2,4,0
18.76,0,487,0,1,0,0,0,0,0,2,1,0,2
18.86,0,481,1,0,0,1,0,0,0,0,1,1,2
18.96,0,513,0,0,0,0,0,0,1,0,1,4,1
19.05,0,530,1,0,0,0,0,1,0,1,1,4,0
19.15,0,587,0,0,1,0,0,0,1,0,4,2,0
19.25,0,653,0,0,0,0,0,0,0,0,3,1,1
19.35,0,773,1,0,0,0,0,0,0,1,4,0,0
19.45,0,840,0,0,2,0,0,0,1,0,1,0,3
19.55,0,913,0,0,0,0,0,1,3,0,3,1,2
19.64,0,932,0,0,0,0,0,1,0,1,0,0,13
19.74,0,879,2,0,0,0,0,0,1,0,0,2,27
19.84,0,819,1,0,0,0,1,1,2,0,4,5,28
19.94,0,692,1,1,0,0,0,1,1,2,5,0,30
20.04,0,576,0,0,0,0,0,1,0,0,4,3,34
20.14,0,468,0,1,0,0,0,2,2,0,3,3,10
20.23,0,432,0,0,0,0,0,0,1,0,0,0,8
20.33,0,391,1,0,0,1,0,0,0,0,1,4,7
20.43,0,364,0,0,0,0,0,0,4,0,1,0,2
20.53,0,349,2,0,0,1,0,0,0,0,1,2,4
20.63,0,370,1,0,0,0,0,0,0,1,1,2,2
20.73,0,341,1,0,0,0,0,0,0,0,0,0,0
20.82,0,348,0,0,0,0,0,0,0,1,1,1,0
20.92,0,305,0,0,0,0,0,0,0,0,1,1,0
21.02,0,308,1,0,0,0,0,0,0,0,0,1,0
21.12,0,329,0,0,0,0,0,0,0,1,1,1,0
21.22,0,289,0,0,0,0,0,0,2,0,1,2,0
21.32,0,342,0,0,0,0,0,0,0,1,0,1,0
21.41,0,321,0,0,1,0,0,0,1,0,1,0,0
21.51,0,310,0,0,0,0,1,0,0,0,0,2,0
21.61,0,365,2,0,0,0,0,0,1,0,1,3,0
21.71,0,309,0,0,0,0,0,0,0,0,3,2,0
21.81,1,330,2,0,0,1,0,0,0,0,1,2,0
21.91,0,357,8,1,0,0,0,0,0,0,0,0,0
22,0,333,14,0,0,0,1,0,0,0,1,2,0
22.1,0,353,22,0,0,0,0,0,0,0,2,2,0
22.2,0,324,30,0,0,0,0,0,0,0,1,1,0
22.3,0,339,47,0,0,0,0,0,0,0,2,0,0
22.4,0,325,64,0,0,0,1,1,0,1,0,0,0
22.5,0,292,44,0,0,0,0,0,1,0,1,2,0
22.59,0,286,25,0,0,0,0,0,0,0,0,0,0
22.69,0,256,10,0,0,0,0,0,1,0,0,1,0
22.79,0,248,4,0,0,0,0,0,1,0,0,1,0
22.89,0,264,4,0,1,0,0,0,1,0,1,0,0
22.99,0,225,0,0,0,0,0,0,1,0,1,3,0
23.09,0,230,0,1,0,0,1,0,0,0,2,1,0
23.18,0,243,0,0,0,0,0,0,0,0,1,1,0
23.28,0,246,0,0,0,0,0,0,0,0,0,2,0
23.38,0,229,0,0,0,1,0,0,0,0,0,2,0
23.48,0,218,0,0,0,0,0,0,0,0,0,1,0
23.58,0,230,0,0,0,0,0,0,0,0,1,2,0
23.68,0,200,0,0,0,0,0,0,1,0,1,2,0
23.77,0,190,0,0,0,0,0,0,0,0,1,0,0
23.87,0,192,0,0,0,0,0,0,1,0,0,0,0
23.97,0,227,1,0,0,0,0,0,0,0,1,3,0
24.07,0,206,0,0,0,0,0,0,0,0,0,2,0
24.17,0,198,0,0,0,1,0,0,0,0,2,0,0
24.27,0,190,0,0,0,0,0,0,1,1,2,1,0
24.36,0,191,0,2,0,0,0,0,0,1,0,1,0
24.46,0,178,1,0,0,0,0,0,0,1,0,2,0
24.56,0,205,1,0,0,0,0,0,2,0,0,1,0
24.66,0,192,1,0,0,0,0,0,1,0,1,1,0
24.76,0,190,0,0,0,0,0,0,0,0,0,0,0
24.86,0,212,2,0,0,0,0,0,0,0,1,6,0
24.95,0,163,9,0,0,0,0,0,4,0,1,9,0
25.05,0,167,8,0,0,0,0,0,9,1,1,22,0
25.15,0,187,7,0,0,0,0,0,9,0,0,27,0
