E_1 / keV,Cu Cal,Mo Cal,Mo Filter,Pure Mo Cal,Mo Pure with Zr Filter,Mo plate with Zr Filter,Cu Filter straight through,Brass with Copper Filter,Brass no filter,Al Filter Mo straight through
16.4,0,484,727,1884,536,4,63,0,1,412
16.5,0,531,842,2125,572,2,74,0,1,451
16.59,0,518,1057,2424,544,3,79,0,0,476
16.69,0,545,1212,2689,589,3,59,0,0,555
16.79,0,632,1569,3020,621,3,79,0,0,656
16.89,0,808,2163,3362,784,4,77,0,0,817
16.99,1,1045,2741,3282,963,4,83,0,0,1028
17.09,0,1386,3349,3269,1261,4,92,0,1,1311
17.18,0,1734,4009,2947,1829,9,123,0,0,1811
17.28,0,2378,4516,2729,2509,28,193,0,2,2314
17.38,0,2842,4688,2308,3366,50,298,0,0,2669
17.48,0,3041,4565,1916,4017,88,468,0,1,2777
17.58,0,2906,3855,1619,4331,161,647,0,0,2764
17.68,0,2463,3187,1340,3987,204,802,0,0,2355
17.78,0,1803,2387,1199,2964,225,747,0,1,1685
17.87,0,1172,1698,1089,1903,207,586,0,1,1116
17.97,0,795,1299,1005,1151,114,374,0,0,849
18.07,0,638,1255,1034,692,47,266,0,0,605
18.17,0,527,1179,959,386,18,178,0,0,579
18.27,0,532,1187,994,303,5,111,0,0,593
18.37,0,504,1231,1080,239,0,125,0,0,566
18.46,0,568,1268,1103,205,0,128,0,1,591
18.56,0,525,1295,1103,195,1,143,0,1,555
18.66,0,503,1201,1091,188,0,137,0,0,536
18.76,0,487,1243,1159,161,0,142,0,0,540
18.86,0,481,1354,1230,150,0,135,0,0,583
18.96,0,513,1503,1308,155,0,149,0,0,532
19.05,0,530,1609,1325,120,1,137,0,0,625
19.15,0,587,1904,1344,152,2,130,0,0,592
19.25,0,653,2072,1373,144,1,142,0,0,789
19.35,0,773,2320,1270,159,2,177,0,0,887
19.45,0,840,2438,1072,182,4,211,0,0,893
19.55,0,913,2362,1066,198,10,236,0,1,1043
19.64,0,932,2191,969,205,12,330,0,0,1075
19.74,0,879,1778,840,220,37,403,0,0,1018
19.84,0,819,1476,783,183,33,418,0,0,869
19.94,0,692,1024,753,172,31,401,0,1,748
20.04,0,576,768,743,174,18,375,0,1,685
20.14,0,468,526,729,150,24,280,0,0,543
20.23,0,432,345,670,123,7,211,0,0,467
20.33,0,391,259,675,126,10,189,0,0,501
20.43,0,364,198,644,131,4,169,0,0,446
20.53,0,349,229,667,108,1,168,0,0,444
20.63,0,370,162,656,113,1,139,0,0,450
20.73,0,341,177,610,110,0,138,0,0,433
20.82,0,348,150,613,124,0,152,0,0,454
20.92,0,305,136,632,110,0,174,0,0,383
21.02,0,308,109,594,123,0,166,0,0,442
21.12,0,329,116,633,107,0,149,0,0,404
21.22,0,289,147,583,114,0,155,0,1,399
21.32,0,342,111,609,118,0,162,0,0,397
21.41,0,321,99,573,110,0,167,0,0,408
21.51,0,310,86,655,116,0,174,0,0,384
21.61,0,365,120,620,126,1,150,0,0,425
21.71,0,309,122,634,138,0,173,0,0,436
21.81,1,330,128,553,135,0,165,0,1,408
