E_1 / keV,N_1,N_2,N_3,N_4,N_5,N_6,N_7,N_8,N_9,N_10,N_11
25.09,147,0,0,154,10,0,1,1,650,14,6
25.14,163,1,3,129,12,0,1,1,635,12,6
25.19,144,1,0,123,12,4,0,1,615,16,5
25.24,174,0,0,95,9,1,0,0,513,16,5
25.29,149,0,0,80,16,2,0,1,480,11,7
25.34,153,0,1,70,13,0,1,2,302,7,4
25.39,170,0,0,79,12,0,0,0,230,11,5
25.44,132,0,0,48,17,0,2,1,178,8,5
25.49,141,0,0,43,15,0,0,0,121,14,2
25.54,133,1,0,24,15,0,0,1,76,9,4
25.59,132,0,0,19,15,0,0,0,47,17,8
25.64,131,0,0,12,11,2,0,0,27,9,4
25.7,126,1,0,9,17,2,1,0,20,13,0
25.75,130,1,1,9,13,1,1,0,33,8,5
25.8,144,0,0,4,23,2,0,0,22,7,7
25.85,137,0,0,1,22,1,2,1,20,6,1
25.9,125,0,1,6,9,0,1,1,20,6,7
25.95,132,0,1,2,10,0,1,0,19,7,0
26,113,0,0,4,13,2,1,1,23,11,3
26.05,157,0,0,3,12,0,0,0,30,5,0
26.1,112,0,1,3,12,1,1,1,24,9,1
26.15,118,0,0,1,14,0,1,0,31,10,6
26.2,96,0,1,5,14,1,3,0,32,10,2
26.25,109,0,0,7,8,0,0,0,23,9,3
26.3,116,1,0,1,9,2,0,0,23,7,3
26.35,110,0,0,1,13,2,0,1,18,6,3
26.41,110,0,1,2,10,0,0,0,12,12,4
26.46,101,1,0,2,10,0,0,0,19,9,5
26.51,118,0,0,3,10,0,1,0,12,8,3
26.56,120,0,1,9,12,1,0,0,13,7,3
26.61,123,0,0,4,12,1,0,0,14,20,0
26.66,104,0,0,5,12,0,0,0,9,23,2
26.71,121,1,2,1,7,0,0,0,14,31,4
26.76,103,0,1,4,4,0,0,0,8,51,3
26.81,126,0,0,3,9,0,0,1,3,64,4
26.86,92,0,0,2,3,0,0,0,10,82,2
26.91,104,0,0,6,11,0,0,0,10,112,3
26.96,115,0,0,7,6,0,0,0,10,152,3
27.01,94,0,0,1,5,0,0,1,6,132,1
27.06,91,0,1,3,7,0,0,0,6,141,3
27.12,85,1,1,1,8,3,0,0,6,156,1
27.17,78,0,0,3,6,0,1,1,2,147,3
27.22,105,0,1,2,4,0,0,1,14,128,3
27.27,78,0,0,5,2,0,0,0,7,90,5
27.32,84,0,0,4,6,0,0,0,4,66,1
27.37,69,0,0,2,10,0,1,0,7,62,3
27.42,91,1,2,0,2,0,0,0,6,37,4
27.47,89,0,0,4,6,0,2,0,3,42,4
27.52,87,0,0,0,7,0,1,0,3,36,3
27.57,74,1,0,2,2,0,1,0,7,33,1
27.62,86,0,1,2,4,0,0,0,5,31,2
27.67,81,0,0,4,5,0,0,0,15,30,6
27.72,88,0,0,2,8,0,0,0,10,23,0
27.77,87,1,0,3,2,1,1,1,15,16,3
27.83,92,0,1,2,5,0,1,1,28,17,1
27.88,59,0,0,1,6,0,0,2,27,11,2
27.93,90,0,0,0,8,0,2,0,31,9,5
27.98,92,0,0,0,8,1,0,0,57,8,4
28.03,74,0,0,2,7,0,0,3,67,2,1
28.08,72,0,1,0,3,0,0,1,81,1,1
28.13,73,0,1,2,2,0,1,0,110,1,4
28.18,97,0,1,4,8,1,1,0,94,3,1
28.23,84,0,0,0,6,0,0,0,93,1,2
28.28,72,0,1,2,3,0,0,0,84,0,3
28.33,71,0,0,2,4,0,0,1,76,2,3
28.38,62,0,1,2,9,1,1,0,66,2,0
28.43,74,1,1,1,3,0,0,0,44,1,2
28.48,68,0,0,3,3,2,0,0,37,0,4
28.54,74,0,0,1,4,0,1,1,34,1,0
28.59,59,0,0,2,1,0,1,0,28,0,5
28.64,74,0,0,4,7,0,0,0,32,0,4
28.69,66,0,0,2,8,0,0,0,11,0,2
28.74,72,0,1,0,9,0,0,0,24,0,1
28.79,64,0,0,0,6,0,0,0,13,0,1
28.84,69,0,0,1,6,1,0,0,21,0,3
28.89,72,0,0,4,6,0,0,0,15,0,4
28.94,58,0,0,2,7,0,0,0,15,0,0
28.99,56,0,1,1,7,1,0,0,7,1,3
29.04,61,0,1,3,5,0,0,0,9,0,4
29.09,64,0,0,0,4,0,0,0,9,1,0
29.14,50,0,0,1,5,0,0,0,6,0,0
29.19,69,0,0,3,5,1,0,0,4,2,2
29.25,70,0,0,0,4,1,0,1,2,2,5
29.3,64,0,0,2,6,0,0,0,1,2,1
29.35,64,0,1,2,7,0,0,2,7,1,1
29.4,52,0,0,4,5,0,0,0,0,1,1
29.45,43,0,0,1,3,0,0,0,1,0,4
29.5,49,0,0,0,12,0,0,0,3,1,0
29.55,45,0,1,3,8,0,0,0,0,1,3
29.6,48,0,0,3,8,0,0,1,0,2,0
29.65,45,0,0,0,5,0,0,0,3,0,2
29.7,56,0,0,2,5,0,0,0,3,0,1
29.75,47,0,0,0,11,0,0,0,1,1,0
29.8,51,0,0,2,7,0,0,0,0,1,1
29.85,64,0,1,1,7,1,0,0,3,1,2
29.9,43,0,0,1,4,0,0,0,4,1,1
29.96,49,0,0,3,1,1,0,0,1,2,2
30.01,50,0,0,2,4,0,0,0,0,1,2
30.06,51,0,0,0,5,0,0,0,2,0,1
30.11,39,0,0,2,6,0,0,0,4,0,3
30.16,40,0,0,2,7,0,0,0,1,2,1
30.21,48,0,0,0,9,0,0,0,2,0,1
30.26,50,0,0,3,5,0,0,1,2,1,1
30.31,37,0,0,2,7,0,0,0,1,0,0
30.36,43,0,0,1,9,0,1,0,1,0,2
30.41,45,0,0,2,14,0,0,0,0,1,1
30.46,39,0,0,1,2,0,1,0,1,0,1
30.51,44,0,0,1,12,0,0,0,1,1,1
30.56,27,0,0,0,9,0,0,0,0,0,2
30.61,35,0,1,0,9,0,1,0,0,0,1
30.67,38,0,0,1,13,0,0,0,0,0,0
30.72,36,0,1,1,13,1,0,0,0,0,0
30.77,38,0,1,2,9,0,0,1,1,0,0
30.82,37,0,0,1,4,0,0,0,1,0,3
30.87,37,0,0,0,6,0,0,0,0,0,1
30.92,23,0,0,1,6,0,0,0,0,1,1
30.97,42,0,0,0,7,0,0,0,0,0,0
31.02,40,0,1,1,5,0,0,0,0,1,0
31.07,31,0,0,0,2,0,0,0,1,0,1
31.12,31,0,0,0,6,0,1,0,0,0,0
31.17,27,0,0,1,2,0,1,0,0,1,0
31.22,31,0,0,1,4,0,0,0,1,0,0
31.27,22,0,0,3,3,0,0,0,0,1,1
31.32,46,0,0,0,3,0,0,0,0,0,2
31.38,30,0,0,1,0,0,0,0,0,0,1
31.43,37,0,0,0,2,0,0,0,0,0,0
31.48,32,0,0,1,3,0,0,0,0,0,0
31.53,25,0,0,0,2,0,1,0,0,0,0
31.58,28,0,0,1,3,0,0,0,1,0,0
31.63,36,0,0,1,4,0,0,0,0,1,0
31.68,24,0,0,1,5,0,0,0,1,0,3
31.73,31,0,0,1,3,0,0,0,0,1,1
31.78,41,0,0,0,1,0,0,0,0,0,0
31.83,26,0,0,0,2,0,0,0,0,0,0
31.88,28,0,0,0,0,0,0,0,0,0,0
31.93,18,0,0,1,2,0,0,0,0,0,0
31.98,24,0,0,2,1,0,0,1,0,0,1
32.03,21,0,0,0,1,0,0,0,0,0,0
32.09,23,0,0,1,0,0,0,0,0,0,1
32.14,21,0,0,0,4,0,0,0,0,0,0
32.19,17,0,0,1,2,0,0,0,0,1,1
32.24,15,0,0,0,4,0,0,0,0,0,0
32.29,22,0,0,2,2,0,0,0,0,1,0
32.34,26,0,0,0,2,0,0,0,0,0,0
32.39,16,0,0,0,0,0,0,0,1,1,1
32.44,13,0,0,1,3,0,0,0,0,0,0
32.49,17,0,0,1,2,0,1,0,1,0,0
32.54,19,1,0,2,3,0,0,0,3,2,0
32.59,17,0,0,1,5,0,0,0,1,0,0
32.64,17,0,0,1,1,0,0,0,1,0,0
32.69,14,0,0,4,0,0,0,0,0,0,0
32.74,19,0,0,2,2,0,0,0,0,0,0
32.8,19,0,0,5,2,0,0,0,0,0,0
32.85,12,0,0,3,0,0,0,0,1,0,0
32.9,9,0,1,1,0,0,0,0,1,0,0
32.95,13,0,0,0,0,0,0,0,1,0,0
33,10,0,0,2,1,0,0,0,0,1,0
33.05,14,0,0,2,4,0,0,0,0,1,0
33.1,11,0,0,1,0,0,0,0,1,0,1
33.15,12,0,0,1,0,0,0,0,0,1,0
33.2,11,0,0,0,0,0,0,0,0,0,0
33.25,13,0,0,0,1,0,0,0,0,0,1
33.3,14,0,1,0,1,0,0,0,1,1,0
33.35,7,0,1,1,0,0,0,0,0,0,2
33.4,5,0,0,0,0,0,0,0,0,0,0
33.45,11,0,0,1,0,0,0,0,0,0,0
33.51,9,0,0,3,0,0,0,0,0,0,0
33.56,11,0,2,4,1,0,0,0,0,0,0
33.61,5,0,0,3,0,0,0,0,0,0,0
33.66,7,0,0,3,1,0,0,0,0,0,0
33.71,10,0,0,2,0,0,0,0,0,0,0
33.76,8,0,0,0,0,0,0,0,0,0,0
33.81,9,0,0,1,1,0,1,0,0,0,0
33.86,10,0,0,0,2,0,0,0,1,0,0
33.91,10,0,0,0,0,0,0,0,0,0,0
33.96,18,0,0,1,0,0,0,0,0,0,0
34.01,4,0,0,0,0,0,0,0,0,0,0
34.06,7,0,0,0,0,0,0,0,0,0,0
34.11,9,0,0,0,0,0,0,0,0,0,1
34.16,6,0,0,2,0,0,0,0,0,0,0
34.22,6,0,0,0,0,0,0,0,0,0,0
34.27,2,0,0,0,0,0,0,0,0,0,0
34.32,7,0,0,0,0,0,0,0,0,0,0
34.37,6,0,0,0,0,0,0,0,0,0,0
34.42,7,0,0,0,0,0,0,0,0,0,0
34.47,10,0,0,0,0,0,0,0,0,0,0
34.52,5,0,0,0,0,0,0,0,0,0,0
34.57,3,0,0,0,0,0,0,0,0,0,0
34.62,5,0,0,0,0,0,0,0,0,1,0
34.67,7,0,0,1,0,0,0,0,0,0,0
34.72,6,0,0,0,0,0,0,0,0,0,0
34.77,7,0,0,1,0,0,0,0,0,1,0
34.82,1,0,0,0,0,0,0,0,0,0,0
34.87,2,0,0,3,0,0,0,0,0,0,0
34.93,3,0,0,1,0,0,0,0,0,0,0
34.98,5,0,0,0,1,0,0,0,0,0,0
35.03,9,0,0,0,0,0,0,0,0,0,0
35.08,8,0,1,0,0,0,0,0,0,0,0
35.13,7,0,0,1,0,0,0,0,0,0,0
35.18,3,0,0,0,0,0,0,0,0,0,0
35.23,2,0,0,1,0,0,0,0,0,0,0
35.28,7,0,0,0,0,0,0,0,0,0,0
35.33,3,0,0,1,0,0,0,0,0,0,0
35.38,5,0,0,0,0,0,0,0,0,0,0
35.43,9,0,0,0,2,0,0,0,0,0,0
35.48,6,0,0,0,0,0,0,0,0,0,0
35.53,2,0,0,0,0,0,0,0,0,0,0
35.58,7,0,0,0,1,0,0,0,0,1,0
35.64,4,0,0,1,0,0,0,0,0,0,0
35.69,9,0,0,2,1,0,0,0,0,0,0
35.74,7,0,0,0,1,0,0,0,0,0,0
35.79,6,0,0,0,0,0,0,0,0,0,0
35.84,5,0,0,0,0,0,0,0,0,1,0
35.89,4,0,0,1,0,0,0,0,0,0,0
35.94,6,0,0,0,0,0,0,0,0,1,0
35.99,7,0,0,1,0,0,0,0,0,0,0
36.04,2,0,0,1,0,0,0,0,0,0,1
36.09,1,0,0,0,0,0,0,0,0,0,0
36.14,8,0,0,0,0,0,0,0,0,0,0
36.19,2,0,0,0,0,0,0,0,1,0,0
36.24,3,0,0,1,0,0,0,0,0,0,0
36.29,6,0,0,0,0,0,0,0,1,1,0
36.35,3,0,0,0,0,0,0,0,0,0,0
36.4,3,0,0,0,0,0,0,0,0,0,0
36.45,7,0,0,0,0,0,0,0,0,0,0
36.5,2,0,0,2,0,0,0,0,0,0,0
36.55,3,0,0,0,0,0,0,0,1,0,0
36.6,3,0,0,1,2,0,0,0,0,0,0
36.65,3,0,0,0,0,0,0,0,0,0,0
36.7,3,0,0,1,0,0,0,0,0,0,0
36.75,4,0,0,0,0,0,0,0,0,1,0
36.8,4,0,1,0,1,0,0,0,0,0,0
36.85,1,0,0,1,0,0,0,0,0,0,0
36.9,2,0,0,0,0,0,0,0,0,0,0
36.95,5,0,0,0,1,0,0,0,0,0,0
37,3,0,0,0,1,0,0,1,0,0,1
37.06,3,0,0,0,0,0,0,0,0,0,0
37.11,2,0,0,0,1,0,0,0,0,0,0
37.16,2,0,0,0,0,0,0,0,0,0,0
37.21,1,0,0,0,0,0,0,0,0,0,0
37.26,2,0,0,0,0,0,0,0,0,0,0
37.31,2,0,0,3,1,0,0,0,0,0,0
37.36,3,0,0,0,0,0,0,0,1,0,0
37.41,4,0,1,0,0,0,0,0,0,1,0
37.46,0,0,1,1,1,0,0,0,0,0,0
37.51,5,0,0,1,0,0,0,0,0,0,0
37.56,2,0,0,0,0,0,0,0,1,0,0
37.61,3,0,0,0,0,0,0,0,0,0,0
37.66,3,0,0,1,0,0,0,0,0,0,0
37.71,2,0,0,0,0,0,0,0,0,0,0
37.77,2,0,0,0,0,0,0,0,0,0,0
37.82,1,0,0,0,0,0,0,0,0,0,0
37.87,2,0,0,0,2,0,0,0,0,0,0
37.92,3,0,0,0,0,0,0,0,0,0,1
37.97,3,0,0,0,0,0,0,0,0,0,0
38.02,0,0,0,0,1,0,0,0,0,1,0
38.07,3,0,0,0,0,0,0,0,0,0,0
38.12,1,0,0,0,0,0,0,0,0,0,0
38.17,3,0,0,1,0,0,0,0,0,0,0
38.22,1,0,1,0,0,0,0,0,0,0,0
38.27,4,0,0,0,1,0,0,0,0,0,0
38.32,4,0,0,1,0,0,0,0,0,1,0
38.37,2,0,0,0,0,0,0,0,0,0,0
38.42,3,0,0,0,1,0,0,0,0,0,0
38.48,3,0,0,0,0,0,0,0,0,0,0
38.53,1,0,0,0,0,0,0,0,0,0,0
38.58,1,0,1,0,0,0,0,0,0,0,0
38.63,1,0,1,0,0,0,0,0,0,0,0
38.68,1,0,1,0,0,0,0,0,0,0,0
38.73,3,0,0,0,0,0,0,0,0,0,0
38.78,0,0,1,0,0,0,0,0,0,0,0
38.83,3,0,0,0,0,0,0,0,0,0,0
38.88,2,0,0,0,0,0,0,0,0,1,0
38.93,0,0,0,1,0,0,0,0,0,0,0
38.98,1,0,0,0,1,0,0,0,0,0,0
39.03,1,0,0,0,0,0,0,0,0,0,0
39.08,1,0,0,0,0,0,0,0,0,0,0
39.13,0,0,0,0,0,0,0,0,0,0,0
39.19,2,0,0,0,0,0,0,0,0,0,0
39.24,3,0,0,1,0,0,0,0,0,1,0
39.29,1,0,0,0,0,0,0,0,0,0,0
39.34,2,0,0,0,2,0,0,0,0,0,0
39.39,0,0,0,0,0,0,0,0,0,0,0
39.44,0,0,0,0,0,0,0,0,0,0,0
39.49,0,0,0,0,0,0,0,0,0,0,0
39.54,1,0,0,0,0,0,0,0,0,0,0
39.59,1,0,1,1,0,0,0,0,0,0,0
39.64,1,0,0,0,0,0,0,0,0,0,0
39.69,3,0,0,0,0,0,0,0,0,0,0
39.74,2,0,0,1,0,0,0,0,0,0,0
39.79,0,0,0,0,0,0,0,0,0,0,0
39.84,0,0,0,0,1,0,0,0,1,0,0
39.9,0,0,0,0,1,0,0,0,0,0,0
39.95,1,0,0,1,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0
40.05,1,0,0,0,0,0,0,0,0,0,0
40.1,1,0,0,1,0,0,0,0,0,0,0
40.15,3,0,0,1,0,0,0,0,0,0,0
40.2,1,0,0,0,1,0,0,0,0,0,0
40.25,0,0,0,0,0,0,0,0,1,0,0
40.3,1,0,0,0,0,0,0,0,0,0,0
40.35,0,0,1,0,1,0,0,0,0,0,0
40.4,0,0,0,0,0,0,0,0,0,0,0
40.45,1,0,0,0,0,0,0,0,0,0,0
40.5,1,0,0,0,0,0,0,0,0,0,0
40.55,1,0,0,0,0,0,0,0,0,0,0
40.61,0,0,0,0,0,0,0,0,0,0,0
40.66,0,0,0,1,0,0,0,0,0,0,0
40.71,0,0,0,0,0,0,0,0,0,0,0
40.76,1,0,0,0,0,0,0,0,0,0,0
40.81,2,0,0,0,0,0,0,0,0,0,0
40.86,0,0,0,0,0,0,0,0,0,0,0
40.91,0,0,0,1,0,0,0,0,0,0,0
40.96,2,0,0,0,0,0,0,0,0,0,0
41.01,0,0,1,0,0,0,0,0,0,0,0
41.06,0,0,1,1,0,0,0,0,0,0,0
41.11,0,0,0,0,0,0,0,0,0,0,0
41.16,0,0,0,0,1,0,0,0,0,0,0
41.21,0,0,0,0,0,0,0,0,0,0,0
41.26,0,0,0,1,0,0,0,0,0,0,0
41.32,0,0,0,0,0,0,0,0,0,0,0
41.37,0,0,0,0,0,0,0,0,0,0,0
41.42,1,0,1,1,0,0,0,0,0,0,0
41.47,0,0,0,0,0,0,0,0,1,0,0
41.52,2,0,0,0,1,0,0,0,0,0,0
41.57,0,0,0,2,0,0,0,0,0,0,0
41.62,0,0,0,0,0,0,0,0,0,0,0
41.67,2,0,0,0,0,0,0,0,0,0,0
41.72,1,0,0,0,0,0,0,0,0,0,0
41.77,0,0,0,0,0,0,0,0,0,0,0
41.82,1,0,0,1,0,0,0,0,1,0,0
41.87,1,0,0,1,0,0,0,0,0,0,0
41.92,3,0,0,1,0,0,0,0,0,0,0
41.97,1,0,0,2,0,0,0,0,0,0,0
42.03,1,0,0,0,0,0,0,0,0,0,0
42.08,2,0,0,0,0,0,0,0,0,0,0
42.13,1,0,0,2,0,0,0,0,0,0,0
42.18,0,0,0,2,0,0,0,0,0,0,0
42.23,0,0,0,0,0,0,0,0,0,0,0
42.28,0,0,0,0,0,0,0,0,0,0,0
42.33,0,0,0,0,0,0,0,0,0,0,0
42.38,0,0,1,0,0,0,0,0,0,0,0
42.43,1,0,0,0,0,0,0,0,0,0,0
42.48,0,0,0,0,1,0,0,0,0,0,0
42.53,0,0,0,0,0,0,0,0,0,0,0
42.58,0,0,0,1,0,0,0,0,0,0,0
42.63,0,0,0,0,0,0,0,0,0,0,0
42.68,1,0,0,0,0,0,0,0,0,0,0
42.74,0,0,0,0,0,0,0,0,0,0,0
42.79,0,0,0,0,0,0,0,0,0,0,0
42.84,1,0,0,0,0,0,0,0,0,0,0
42.89,0,0,0,0,0,0,0,0,1,0,0
42.94,0,0,0,0,0,0,0,0,0,0,0
42.99,0,0,0,1,1,0,0,0,0,0,0
43.04,0,0,0,0,0,0,0,0,0,0,0
43.09,1,0,0,0,0,0,0,0,0,0,0
43.14,0,0,0,0,0,0,0,0,0,0,0
43.19,0,0,0,0,0,0,0,0,0,1,0
43.24,0,0,0,0,0,0,0,0,0,0,0
43.29,0,0,0,0,0,0,0,0,0,0,0
43.34,0,0,0,0,0,0,0,0,0,0,0
43.39,0,0,0,0,0,0,0,0,0,0,0
43.45,0,0,0,0,0,0,0,0,0,0,0
43.5,0,0,0,2,0,0,0,0,0,0,0
43.55,0,0,1,0,0,0,0,0,0,0,0
43.6,1,0,0,0,1,0,0,0,0,0,0
43.65,0,0,0,0,0,0,0,0,0,0,0
43.7,0,0,0,0,0,0,0,0,0,0,0
43.75,0,0,0,1,0,0,0,0,0,0,0
43.8,0,0,1,0,0,0,0,0,0,0,0
43.85,0,0,0,0,0,0,0,0,0,0,0
43.9,0,0,0,0,0,0,0,0,0,0,0
43.95,1,0,1,0,1,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0
44.05,0,0,0,0,0,0,0,0,0,0,0
44.1,0,0,0,0,0,0,0,0,0,0,0
44.16,0,0,0,0,0,0,0,0,0,0,0
44.21,0,0,0,0,0,0,0,0,0,0,0
44.26,0,0,0,0,0,0,0,0,0,0,0
44.31,1,0,0,0,0,0,0,0,0,1,0
44.36,1,0,0,0,0,0,0,0,0,0,0
44.41,1,0,0,0,0,0,0,0,0,0,0
44.46,0,0,1,0,0,0,0,0,0,0,0
44.51,0,0,0,0,0,0,0,0,0,0,0
44.56,1,0,1,1,0,0,0,0,0,0,0
44.61,0,0,1,0,0,0,0,0,0,0,0
44.66,0,0,0,0,0,0,0,0,0,0,0
44.71,0,0,1,0,0,0,0,0,0,0,0
44.76,0,0,0,0,0,0,0,0,0,0,0
44.81,1,0,1,0,0,0,0,0,0,0,0
44.87,0,0,0,0,0,0,0,0,0,0,0
44.92,0,0,0,0,0,0,0,0,0,0,0
44.97,0,0,0,0,0,0,0,0,0,0,0
45.02,0,0,0,0,0,0,0,0,0,0,0
45.07,0,0,0,0,1,0,0,0,0,0,0
45.12,0,0,0,0,0,0,0,0,0,0,0
45.17,1,0,0,0,0,0,0,0,0,0,0
45.22,0,0,0,0,0,0,0,0,0,0,0
45.27,0,0,0,0,1,0,0,0,2,0,0
45.32,1,0,0,0,0,0,0,0,0,0,0
45.37,0,0,0,0,0,0,0,0,0,0,0
45.42,0,0,0,0,0,0,0,0,0,0,0
45.47,0,0,0,0,0,0,0,0,0,0,0
45.52,0,0,0,0,0,0,0,0,0,0,0
45.58,0,0,0,0,0,0,0,0,0,0,0
45.63,0,0,0,0,0,0,0,0,0,0,0
45.68,0,0,0,0,0,0,0,0,0,0,0
45.73,0,0,0,0,0,0,0,0,0,0,0
45.78,0,0,0,0,0,0,0,0,0,0,0
45.83,0,0,0,0,0,0,0,0,0,1,0
45.88,1,0,0,0,0,0,0,0,0,0,0
45.93,0,0,0,0,0,0,0,0,0,0,0
45.98,0,0,0,0,0,0,0,0,0,0,0
46.03,1,0,0,0,0,0,0,0,0,0,0
46.08,1,0,0,0,1,0,0,0,0,0,0
46.13,1,0,0,0,1,0,0,0,0,0,0
46.18,1,0,0,0,0,0,0,0,0,0,0
46.23,0,0,0,0,0,0,0,0,0,0,0
46.29,0,0,0,0,0,0,0,0,0,0,0
46.34,1,0,0,0,0,0,0,0,0,0,0
46.39,0,0,0,0,0,0,0,0,0,0,0
46.44,0,0,0,0,0,0,0,0,0,0,0
46.49,1,0,1,0,0,0,0,0,0,0,0
46.54,0,0,0,0,0,0,0,0,0,0,0
46.59,0,0,1,0,0,0,0,0,0,0,0
46.64,1,0,0,0,0,0,0,0,0,0,0
46.69,0,0,0,0,0,0,0,0,0,0,0
46.74,0,0,0,0,0,0,0,0,0,0,0
46.79,0,0,0,0,0,0,0,0,0,0,0
46.84,0,0,0,0,0,0,0,0,0,0,0
46.89,1,0,0,0,0,0,0,0,0,0,0
46.94,0,0,1,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0
47.05,0,0,0,0,0,0,0,0,0,0,0
47.1,0,0,0,0,0,0,0,0,0,0,0
47.15,0,0,0,0,0,0,0,0,0,0,0
47.2,0,0,0,0,0,0,0,0,0,0,0
47.25,0,0,0,0,0,0,0,0,0,0,0
47.3,0,0,0,0,0,0,0,0,0,0,0
47.35,0,0,0,0,0,0,0,0,0,0,0
47.4,0,0,0,0,0,0,0,0,0,0,0
47.45,0,0,0,0,0,0,0,0,0,0,0
47.5,0,0,0,0,0,0,0,0,0,0,0
47.55,1,0,0,0,0,0,0,0,0,0,0
47.6,0,0,0,0,1,0,0,0,0,0,0
47.65,0,0,0,0,0,0,0,0,0,0,0
47.71,0,0,0,0,0,0,0,0,0,0,0
47.76,0,0,0,0,0,0,0,0,0,0,0
47.81,0,0,0,0,0,0,0,0,0,0,0
47.86,0,0,0,0,0,0,0,0,0,0,0
47.91,0,0,0,0,0,0,0,0,0,0,0
47.96,0,0,0,0,0,0,0,0,0,0,0
48.01,0,0,0,0,0,0,0,0,0,0,0
48.06,0,0,0,0,0,0,0,0,0,0,0
48.11,0,0,0,0,0,0,0,0,0,0,0
48.16,0,0,0,0,0,0,0,0,0,0,0
48.21,0,1,0,0,0,0,0,0,0,0,0
48.26,0,0,0,0,0,0,0,0,0,0,0
48.31,0,0,0,0,0,0,0,0,0,0,0
48.36,0,0,0,0,0,0,0,0,0,0,0
48.42,1,0,0,0,0,0,0,0,0,0,0
48.47,0,0,0,0,0,0,0,0,0,0,0
48.52,1,0,0,0,0,0,0,0,0,0,0
48.57,0,0,0,0,0,0,0,0,0,0,0
48.62,0,0,0,0,0,0,0,0,0,0,0
48.67,0,0,0,0,0,0,0,0,0,0,0
48.72,0,0,0,0,0,0,0,0,0,0,0
48.77,0,0,0,0,0,0,0,0,0,0,0
48.82,0,0,0,0,0,0,0,0,0,0,0
48.87,0,0,1,0,0,0,0,0,0,0,0
48.92,0,0,0,0,0,0,0,0,0,0,0
48.97,0,0,0,0,0,0,0,0,0,0,0
49.02,0,0,1,0,0,0,0,0,0,0,0
49.07,0,0,0,0,0,0,0,0,0,0,0
49.13,0,0,0,0,0,0,0,0,0,0,0
49.18,0,0,0,0,0,0,0,0,0,0,0
49.23,0,0,0,0,0,0,0,0,0,0,0
49.28,0,0,0,0,0,0,0,0,0,0,0
49.33,0,0,0,0,0,0,0,0,0,0,0
49.38,0,0,0,0,0,0,0,0,0,0,0
49.43,0,0,0,0,0,0,0,0,0,0,0
49.48,0,0,0,0,0,0,0,0,0,0,0
49.53,0,0,0,0,0,0,0,0,0,0,0
49.58,0,0,0,0,0,0,0,0,0,0,0
49.63,0,0,0,0,0,0,0,0,0,0,0
49.68,0,0,0,0,0,0,0,0,0,0,0
49.73,0,0,0,0,0,0,0,0,0,0,0
49.78,0,0,1,0,0,0,0,0,0,0,0
49.84,0,0,0,0,0,0,0,0,0,0,0
49.89,0,0,0,0,0,0,0,0,0,0,0
49.94,0,0,0,0,0,0,0,0,0,0,0
49.99,0,0,0,0,0,0,0,0,0,0,0
50.04,0,0,0,0,0,0,0,0,0,0,0
50.09,0,0,0,0,0,0,0,0,0,0,0
50.14,0,0,0,0,1,0,0,0,0,0,0
50.19,0,0,0,0,0,0,0,0,0,0,0
50.24,0,0,0,0,0,0,0,0,0,0,0
50.29,0,0,0,0,0,0,0,0,0,0,0
50.34,0,0,0,0,1,0,0,0,0,0,0
50.39,0,0,0,0,0,0,0,0,0,0,0
50.44,0,0,0,0,0,0,0,0,0,0,0
50.49,0,0,0,0,0,0,0,0,0,0,0
50.55,0,0,0,0,0,0,0,0,0,0,0
50.6,0,0,0,0,0,0,0,0,0,0,0
50.65,0,0,0,0,0,0,0,0,0,0,0
50.7,0,0,0,0,0,0,0,0,0,0,0
50.75,0,0,1,0,0,0,0,0,0,0,0
50.8,0,0,0,0,0,0,0,0,0,0,0
50.85,0,0,0,0,0,0,0,0,0,0,0
50.9,0,0,0,0,0,0,0,0,0,0,0
50.95,0,0,0,0,0,0,0,0,0,0,0
51,1,0,0,0,0,0,0,0,0,0,0
51.05,0,0,0,0,0,0,0,0,0,0,0
51.1,0,0,0,0,0,0,0,0,0,0,0
51.15,0,0,0,0,0,0,0,0,0,0,0
51.2,0,0,0,0,0,0,0,0,0,0,0
51.26,0,0,1,0,0,0,0,0,0,0,0
51.31,0,1,0,0,1,0,0,0,0,0,0
51.36,0,0,0,0,0,0,0,0,0,0,0
51.41,0,0,0,0,0,0,0,0,0,0,0
51.46,0,0,0,0,0,0,0,0,0,1,0
51.51,0,0,0,0,0,0,0,0,0,0,0
51.56,0,0,0,0,0,0,0,0,0,0,0
51.61,0,0,0,0,0,0,0,0,0,0,0
51.66,0,0,0,0,0,0,0,0,0,0,0
51.71,0,0,0,0,0,0,0,0,0,0,0
51.76,0,0,0,0,0,0,0,0,0,0,0
51.81,0,0,0,0,0,0,0,0,0,0,0
51.86,0,0,0,0,0,0,0,0,0,0,0
51.91,0,0,0,0,0,0,0,0,0,0,0
51.97,1,0,0,0,0,0,0,0,0,0,0
52.02,0,0,0,0,0,0,0,0,0,0,0
52.07,0,0,0,0,0,0,0,0,0,0,0
52.12,0,0,0,0,0,0,0,0,0,1,0
52.17,0,0,1,0,0,0,0,0,0,0,0
52.22,0,0,0,0,0,0,0,0,0,0,0
52.27,0,0,0,0,0,0,0,0,0,0,0
