E_1 / keV,N_1,N_2,N_3,N_4,N_5,N_6,N_7,N_8,N_9,N_10,N_11
7.59,9861,491,46,173,277,233,71,12083,142,70,1008
7.64,11228,818,23,159,284,257,75,9723,193,91,987
7.69,12308,1348,25,183,278,231,57,7410,261,96,1073
7.74,13026,2071,18,160,314,263,41,5177,363,129,1264
7.79,13035,3194,23,226,406,303,42,3503,527,169,1720
7.84,12300,4255,19,228,405,317,37,2382,676,201,2129
7.9,11183,5402,27,311,391,363,39,1721,978,295,3106
7.95,9585,6230,22,320,446,425,30,1358,1143,308,4264
8,7804,6488,22,335,437,492,37,1527,1307,356,5974
8.05,6449,6254,36,324,381,635,46,1645,1277,379,8029
8.1,5274,5522,34,311,371,875,23,1884,1274,391,10524
8.15,4406,4433,28,304,356,1349,28,2213,1126,361,12375
8.2,4073,3260,27,251,260,2094,22,2201,936,283,14244
8.25,3936,2205,20,226,283,3216,20,2205,726,235,15420
8.3,3987,1364,24,199,272,4730,20,2028,487,176,15487
8.35,4215,826,20,163,234,6741,19,1696,376,156,14610
8.4,4531,508,20,177,223,9066,27,1324,246,103,13013
8.45,4771,354,24,149,271,11157,24,1071,243,101,11037
8.5,5039,338,22,167,307,13074,22,677,203,78,8620
8.55,5255,371,18,194,291,13843,24,479,249,99,6328
8.61,4958,479,30,237,340,13587,24,273,279,93,4611
8.66,4799,652,17,249,384,12288,31,168,345,101,3234
8.71,4565,765,19,289,389,10552,30,103,457,119,2489
8.76,3940,865,16,375,407,8169,30,76,538,132,1994
8.81,3402,913,22,358,427,5548,23,45,543,133,1618
8.86,2930,812,18,361,421,3586,16,28,586,134,1459
8.91,2660,724,14,353,372,2336,25,26,560,129,1433
8.96,2413,587,12,330,330,1334,24,29,517,92,1615
9.01,2378,426,20,266,315,836,15,14,425,84,1937
9.06,2381,280,15,250,272,701,21,19,324,80,2524
9.11,2312,167,21,221,240,685,24,12,221,57,2897
9.16,2341,100,15,179,232,771,23,12,188,62,3920
9.21,2504,40,30,177,242,995,18,11,153,58,5271
9.26,2637,28,35,186,273,1301,30,13,143,36,6800
9.32,2622,19,56,188,295,1561,42,15,123,66,8231
9.37,2517,11,48,236,386,1703,43,10,120,68,9586
9.42,2587,9,61,248,396,1820,57,9,164,84,11121
9.47,2496,6,85,239,400,1909,75,13,155,86,11819
9.52,2281,5,84,267,418,1734,70,19,180,130,12017
9.57,2284,1,88,275,395,1481,101,16,151,120,11925
9.62,2265,5,87,303,355,1130,94,15,154,130,10973
9.67,2048,3,74,247,337,871,89,16,176,140,9582
9.72,2009,0,73,261,305,626,104,13,130,111,8453
9.77,1870,4,64,184,234,396,93,16,123,107,7003
9.82,1819,1,37,163,205,237,118,12,94,106,5609
9.87,1768,0,29,161,198,122,88,14,108,74,4483
9.92,1695,4,29,131,189,92,84,18,94,63,3518
9.97,1618,1,10,90,126,55,76,10,82,52,2574
10.03,1720,3,18,108,129,47,69,16,80,66,1971
10.08,1709,3,12,85,125,36,71,12,85,52,1404
10.13,1664,1,13,98,137,17,54,15,74,46,1020
10.18,1747,3,14,87,135,19,58,18,72,47,855
10.23,1648,2,5,100,154,17,60,16,82,55,644
10.28,1765,0,8,111,136,17,53,9,78,39,542
10.33,1753,1,24,93,146,20,61,13,83,59,475
10.38,1811,1,12,101,150,17,56,21,82,39,419
10.43,1710,1,12,98,151,10,42,11,98,53,388
10.48,1821,1,15,122,150,15,37,13,102,53,342
10.53,1772,1,31,106,145,10,26,12,91,53,382
10.58,1834,3,50,107,153,9,39,14,85,57,390
10.63,1844,3,52,105,184,4,28,12,74,59,452
10.68,1938,0,67,125,148,7,21,20,65,50,530
10.74,1862,2,67,108,160,9,25,17,89,64,600
10.79,1884,3,75,103,175,9,22,10,69,57,678
10.84,1927,1,74,92,209,5,26,22,74,49,775
10.89,1908,2,82,99,241,8,25,22,83,60,854
10.94,2076,4,59,128,227,9,17,22,59,71,1060
10.99,1931,2,67,128,279,10,32,26,76,83,1106
11.04,1961,0,62,123,309,10,22,38,73,68,1131
11.09,1896,2,54,155,363,12,34,44,73,80,1188
11.14,1989,2,50,164,365,20,15,47,81,95,1184
11.19,1965,0,60,175,346,7,19,62,95,97,1082
11.24,1940,0,55,190,368,11,24,51,93,99,962
11.29,1964,2,61,203,372,14,22,54,109,97,890
11.34,1828,2,63,197,366,10,21,67,100,94,747
11.39,1733,1,64,184,290,17,22,51,106,104,642
11.45,1768,2,67,181,322,9,19,64,117,114,634
11.5,1749,3,62,173,267,11,9,49,94,97,486
