E_1 / keV,Cs137,Background
1710.2,318,0
1713.1,312,0
1716,380,0
1718.8,354,1
1721.7,379,1
1724.6,379,1
1727.5,344,0
1730.3,355,1
1733.2,371,1
1736.1,345,1
1738.9,385,0
1741.8,394,0
1744.7,380,1
1747.5,442,2
1750.4,437,0
1753.3,406,0
1756.2,486,1
1759,483,0
1761.9,456,1
1764.8,480,1
1767.6,485,0
1770.5,476,0
1773.4,456,1
1776.2,496,2
1779.1,495,1
1782,486,0
1784.8,532,0
1787.7,542,0
1790.6,553,0
1793.5,532,3
1796.3,557,1
1799.2,564,1
1802.1,559,2
1804.9,600,0
1807.8,631,0
1810.7,593,0
1813.5,592,2
1816.4,624,0
1819.3,659,0
1822.1,676,0
1825,659,1
1827.9,675,1
1830.8,691,0
1833.6,738,0
1836.5,724,0
1839.4,782,0
1842.2,757,0
1845.1,780,0
1848,780,0
1850.8,800,0
1853.7,810,2
1856.6,807,0
1859.5,818,0
1862.3,801,1
1865.2,796,0
1868.1,845,1
1870.9,834,0
1873.8,889,0
1876.7,833,0
1879.5,839,0
1882.4,899,0
1885.3,918,0
1888.1,913,0
1891,961,1
1893.9,971,0
1896.8,920,0
1899.6,958,0
1902.5,956,0
1905.4,919,2
1908.2,963,0
1911.1,1009,0
1914,993,3
1916.8,965,0
1919.7,1050,0
1922.6,1027,1
1925.5,1044,0
1928.3,1124,0
1931.2,1012,2
1934.1,1010,0
1936.9,1103,1
1939.8,1074,0
1942.7,1079,0
1945.5,1170,0
1948.4,1173,2
1951.3,1126,0
1954.1,1077,1
1957,1122,1
1959.9,1174,1
1962.8,1193,0
1965.6,1220,0
1968.5,1208,0
1971.4,1132,0
1974.2,1212,0
1977.1,1179,1
1980,1132,0
1982.8,1157,0
1985.7,1199,0
1988.6,1148,0
1991.5,1198,0
1994.3,1230,0
1997.2,1216,0
2000.1,1214,0
2002.9,1261,0
2005.8,1203,0
2008.7,1185,0
2011.5,1100,0
2014.4,1192,1
2017.3,1216,0
2020.1,1210,1
2023,1230,0
2025.9,1129,0
2028.8,1181,1
2031.6,1127,1
2034.5,1237,0
2037.4,1233,0
2040.2,1182,0
2043.1,1135,1
2046,1190,0
2048.8,1080,1
2051.7,1130,0
2054.6,1061,1
2057.5,1125,1
2060.3,1024,0
2063.2,1092,1
2066.1,1030,0
2068.9,1093,0
2071.8,1037,0
2074.7,1044,0
2077.5,965,1
2080.4,1090,0
2083.3,966,1
2086.1,1045,0
2089,965,0
2091.9,977,1
2094.8,986,0
2097.6,965,0
2100.5,1002,0
2103.4,884,1
2106.2,956,0
2109.1,893,1
2112,902,0
2114.8,891,0
2117.7,892,0
2120.6,916,0
2123.5,859,0
2126.3,821,0
2129.2,836,1
2132.1,834,0
2134.9,846,0
2137.8,786,2
2140.7,771,0
2143.5,745,0
2146.4,710,1
2149.3,711,0
2152.1,729,0
2155,654,0
2157.9,701,0
2160.8,652,0
2163.6,698,0
2166.5,629,1
2169.4,634,0
2172.2,622,0
2175.1,640,0
2178,602,0
2180.8,590,0
2183.7,603,1
2186.6,570,0
2189.4,553,0
2192.3,619,0
2195.2,558,0
2198.1,535,1
2200.9,496,0
2203.8,499,1
2206.7,473,0
2209.5,517,0
2212.4,480,0
2215.3,520,0
2218.1,439,0
2221,489,0
2223.9,519,0
2226.8,469,1
2229.6,526,0
2232.5,446,0
2235.4,496,0
2238.2,446,0
2241.1,408,1
2244,431,0
2246.8,463,0
2249.7,419,1
2252.6,437,0
2255.4,444,0
2258.3,417,0
2261.2,441,0
2264.1,417,1
2266.9,415,0
2269.8,403,0
2272.7,390,1
2275.5,391,0
2278.4,401,0
2281.3,402,0
2284.1,351,0
2287,398,3
2289.9,341,0
2292.8,403,0
2295.6,377,1
2298.5,403,0
2301.4,382,0
2304.2,385,0
2307.1,396,0
2310,354,0
2312.8,359,0
2315.7,415,0
2318.6,387,0
2321.4,374,0
2324.3,328,1
2327.2,342,1
2330.1,375,0
2332.9,335,0
2335.8,378,0
2338.7,374,0
2341.5,365,0
2344.4,346,0
2347.3,329,0
2350.1,345,0
2353,358,0
2355.9,391,0
2358.8,358,0
2361.6,369,1
2364.5,348,0
2367.4,340,1
2370.2,335,0
2373.1,352,1
2376,364,0
2378.8,367,0
2381.7,329,0
2384.6,356,0
2387.4,352,0
2390.3,424,0
2393.2,358,1
2396.1,361,0
2398.9,350,0
2401.8,354,0
2404.7,368,1
2407.5,332,1
2410.4,319,1
2413.3,345,0
2416.1,372,1
2419,343,0
2421.9,326,1
2424.8,360,0
2427.6,348,1
2430.5,320,0
2433.4,349,1
2436.2,352,0
2439.1,317,0
2442,338,0
2444.8,347,1
2447.7,317,0
2450.6,316,0
2453.4,353,0
2456.3,347,2
2459.2,330,0
2462.1,325,1
2464.9,334,0
2467.8,338,1
2470.7,367,0
2473.5,338,0
2476.4,356,0
2479.3,340,0
2482.1,344,0
2485,340,0
2487.9,356,0
2490.7,349,0
2493.6,357,2
2496.5,351,0
2499.4,378,1
2502.2,339,0
2505.1,352,0
2508,336,0
2510.8,377,2
2513.7,364,1
2516.6,326,0
2519.4,340,1
2522.3,341,1
2525.2,332,1
2528.1,352,0
2530.9,371,0
2533.8,348,0
2536.7,339,0
2539.5,369,0
2542.4,312,0
2545.3,359,0
2548.1,364,0
2551,342,0
2553.9,366,0
2556.7,366,0
2559.6,353,0
2562.5,354,0
2565.4,356,0
2568.2,325,0
2571.1,319,0
2574,353,0
2576.8,351,0
2579.7,361,0
2582.6,365,0
2585.4,339,1
2588.3,351,1
2591.2,372,0
2594.1,318,0
2596.9,351,0
2599.8,329,0
2602.7,333,0
2605.5,366,0
2608.4,351,0
2611.3,311,0
2614.1,337,0
2617,337,1
2619.9,354,0
2622.7,343,0
2625.6,362,0
2628.5,352,0
2631.4,366,0
2634.2,335,1
2637.1,342,0
2640,391,0
2642.8,330,0
2645.7,336,1
2648.6,323,0
2651.4,366,0
2654.3,322,1
2657.2,307,0
2660.1,340,1
2662.9,323,0
2665.8,317,2
2668.7,293,0
2671.5,312,0
2674.4,329,0
2677.3,351,1
2680.1,348,1
2683,377,0
2685.9,369,0
2688.7,341,2
2691.6,329,0
2694.5,387,1
2697.4,356,0
2700.2,319,0
2703.1,349,0
