E_1 / keV,Mo plate cal,Cu straight through calibrate,Unknown - Tungsten (W),Unknown - Ti,Pb, In +  plastic,Tin/Copper,Fe Alloy,Iron Zinc,Pure Iron,Gold (Ganel’s pendant),Iron Nickel,Gold (Ganel’s chain),Nickel (Tulsi’s Ring),inconclusive (Ben’s Ring),Manganin (Cu Mn Ni),Iron (with possible mixing),Stainless steel ,Solder (tin),Nickel-Brass (Ganel’s Key),50 Florint ,10 peso (Copper Zinc),Israel (Copper Zinc Nickel),HK Dollar,5 Euro Cent (primarily copper),Indium,Pure Iron,Pure Nickel
2.57,3,12,13,27,19,0,5,4,27,93,27,99,10,8,8,88,129,68,4,22,6,10,7,11,8,16,227,4
2.62,8,15,16,26,26,2,1,3,16,83,20,93,11,11,3,75,162,63,8,33,11,9,8,12,12,22,251,4
2.67,6,8,11,29,18,0,2,2,28,111,30,96,12,12,2,90,148,75,6,24,6,11,7,5,14,30,271,6
2.72,7,11,9,28,23,0,0,2,18,93,23,93,8,10,2,92,146,60,8,34,7,10,5,16,14,27,255,9
2.77,6,6,10,26,18,1,1,8,19,118,22,106,8,12,5,86,175,63,5,27,10,18,7,11,13,34,253,3
2.82,15,14,5,22,19,0,2,4,24,98,25,93,17,8,3,83,176,55,6,19,12,7,12,8,13,44,284,3
2.87,10,17,10,34,19,0,4,6,25,131,30,105,14,8,5,71,173,83,2,42,10,9,4,11,9,40,267,6
2.92,9,17,13,26,18,1,4,3,15,122,22,91,14,11,6,82,135,63,3,18,5,7,5,12,14,50,273,9
2.97,6,15,8,34,30,1,5,2,24,96,23,79,9,3,2,82,160,59,3,22,12,5,5,9,11,32,253,4
3.02,6,11,12,30,23,2,0,9,16,102,19,79,8,3,7,74,152,52,3,19,8,13,9,9,18,29,252,11
3.07,3,15,10,21,11,2,3,2,33,116,27,84,14,8,1,80,124,65,4,28,8,11,8,11,10,48,266,4
3.11,8,8,10,23,26,4,1,4,21,89,13,85,13,5,1,88,168,63,3,32,4,12,11,11,15,50,276,3
3.16,6,22,8,21,14,2,6,7,18,100,21,100,9,3,1,66,158,68,5,29,10,8,9,10,17,56,273,7
3.21,4,15,12,28,13,4,7,1,28,104,20,87,17,6,2,66,148,63,3,36,4,10,9,13,11,49,259,7
3.26,7,15,4,27,20,1,6,6,22,93,20,96,6,7,0,59,129,54,3,22,5,11,10,8,16,55,277,7
3.31,8,13,7,23,22,0,10,9,22,117,24,101,5,3,1,67,183,73,5,38,10,13,12,10,13,78,268,5
3.36,11,13,16,35,27,0,20,3,28,117,23,102,11,7,1,68,157,55,8,26,10,9,11,11,14,74,276,5
3.41,9,17,16,28,23,1,6,5,32,110,30,89,12,8,0,78,179,76,5,41,15,8,6,7,13,70,274,4
3.46,16,10,9,17,24,0,20,3,20,111,23,102,5,3,1,83,159,77,12,33,9,12,15,7,15,105,300,6
3.51,7,16,11,22,20,1,20,5,34,86,18,102,12,6,0,74,175,87,12,41,10,12,20,16,13,109,291,8
3.56,9,9,11,32,19,1,24,2,29,125,13,97,10,6,1,73,181,59,14,32,9,10,5,17,12,100,284,8
3.61,10,20,6,31,16,2,34,3,33,124,31,89,6,8,1,78,195,76,13,35,11,10,10,16,10,108,297,2
3.66,6,12,10,26,20,4,48,10,25,111,12,86,5,7,3,84,169,65,19,33,7,12,10,8,13,102,319,8
3.71,3,17,10,15,23,5,32,4,38,122,27,93,9,4,2,83,153,73,19,38,14,15,18,17,17,112,340,2
3.76,6,13,13,27,21,0,38,2,28,107,27,102,14,3,5,83,182,81,21,22,3,11,10,15,14,90,335,6
3.81,5,10,11,40,18,0,42,6,26,123,30,116,11,8,5,82,168,84,22,31,11,15,15,13,11,85,342,4
3.86,4,16,14,29,22,1,45,6,32,131,15,97,11,11,2,107,174,89,24,31,13,7,10,13,17,85,317,10
3.91,6,13,8,23,17,2,30,2,28,131,33,99,8,6,5,92,158,82,24,35,13,15,8,15,13,81,366,4
3.96,10,15,12,26,23,1,32,4,23,144,30,95,9,11,4,85,180,119,26,32,15,16,8,13,18,48,346,7
4.01,14,12,23,27,17,2,33,2,41,135,40,85,16,9,3,79,173,83,20,27,13,14,10,11,17,62,385,10
4.06,4,16,12,24,14,0,33,6,34,129,16,108,15,12,6,77,210,94,18,26,12,13,7,8,14,52,377,7
4.11,6,15,14,33,24,2,32,8,41,148,30,99,14,8,0,91,187,108,13,41,9,8,11,11,19,42,390,6
4.16,3,17,14,41,24,0,29,1,31,174,36,117,11,9,0,91,223,97,15,32,10,15,11,12,12,33,424,5
4.2,6,17,17,44,23,0,22,8,29,188,23,118,10,5,1,91,194,112,17,32,17,12,13,13,13,41,398,3
4.25,7,16,13,45,21,1,16,5,24,179,24,122,8,4,2,73,206,109,8,46,13,13,17,21,22,23,483,8
4.3,7,12,9,65,23,3,18,5,23,184,39,116,17,8,2,98,229,105,13,36,12,17,10,13,19,39,507,6
4.35,7,20,9,103,22,0,11,4,32,159,23,116,14,2,1,95,219,113,11,40,9,9,12,20,21,22,494,10
4.4,7,19,17,161,16,2,13,7,35,191,35,124,15,6,1,80,222,123,8,30,8,17,6,9,24,35,513,3
4.45,10,10,18,215,18,1,8,7,40,175,27,113,7,7,0,87,213,117,5,36,14,20,21,14,17,39,550,8
4.5,3,9,16,365,22,0,5,7,27,203,24,132,10,6,3,95,242,120,3,36,13,14,8,16,17,40,511,8
4.55,6,5,10,550,21,2,8,6,40,206,25,132,11,5,1,81,238,107,12,39,13,14,16,16,10,31,557,4
4.6,3,13,10,688,30,1,7,5,49,186,36,119,6,8,2,99,235,104,4,29,11,13,11,20,14,40,627,13
4.65,6,16,17,886,19,1,4,11,39,206,37,120,11,6,2,93,240,123,1,50,6,12,18,16,20,47,622,8
4.7,2,14,12,1097,20,2,5,8,38,211,18,125,3,12,1,108,262,115,3,21,20,17,6,12,16,66,603,13
4.75,9,14,15,1296,23,0,5,11,40,203,18,143,2,4,2,96,253,115,6,32,13,14,11,16,23,49,559,10
4.8,6,18,17,1382,18,2,2,3,40,208,24,130,6,4,4,129,249,113,5,40,14,10,14,21,23,60,642,5
4.85,9,7,20,1429,25,3,1,3,31,215,21,150,11,6,6,88,253,135,2,52,15,22,21,27,20,49,617,10
4.9,6,14,14,1327,22,1,5,5,46,252,30,128,10,10,3,97,293,158,5,30,13,25,13,14,30,59,615,12
4.95,15,16,11,1210,14,0,2,7,35,225,33,143,12,6,2,123,230,168,3,42,9,16,14,25,22,55,631,10
5,9,9,13,993,14,2,3,8,47,223,37,150,9,5,0,93,269,156,3,39,16,19,14,13,16,45,638,9
5.05,10,13,13,833,20,0,0,7,40,242,18,142,9,10,0,112,267,149,2,45,12,13,11,13,18,43,638,8
5.1,9,12,17,610,25,2,0,12,43,227,36,130,9,4,3,92,247,173,1,51,17,24,10,21,19,31,624,9
5.15,10,18,14,497,24,2,2,6,41,255,28,164,9,4,3,109,256,219,2,42,15,23,14,18,26,34,672,7
5.2,9,19,15,397,26,1,2,4,45,256,34,132,6,3,3,110,246,274,2,44,16,14,14,12,19,27,653,9
5.24,6,14,14,360,19,0,1,8,55,231,27,139,10,4,5,112,260,281,2,45,14,26,15,26,22,30,637,7
5.29,11,17,19,305,18,0,0,6,55,233,24,168,12,4,2,100,263,347,1,40,21,16,15,13,18,29,711,14
5.34,14,13,17,256,28,0,0,6,47,227,31,141,14,4,1,111,220,500,0,41,13,19,14,15,22,34,675,4
5.39,8,14,14,197,21,0,1,5,40,244,36,142,14,8,1,108,255,590,2,47,28,24,26,24,21,25,681,11
5.44,10,14,13,156,14,1,2,8,45,277,28,132,12,11,3,121,272,714,1,53,22,20,19,26,23,23,693,14
5.49,7,15,18,120,23,1,1,7,50,252,37,152,11,7,2,98,233,818,3,56,22,17,15,23,22,24,727,10
5.54,6,13,18,75,23,1,0,9,65,266,28,130,8,2,1,129,280,937,1,47,13,19,24,22,26,15,711,14
5.59,12,17,20,54,19,1,1,4,44,257,39,138,5,7,0,114,270,1032,1,64,21,24,18,26,27,31,847,14
5.64,8,18,16,27,13,0,0,6,54,282,31,149,5,11,2,117,267,1167,1,50,24,29,22,24,29,29,890,11
5.69,8,23,20,16,30,1,0,6,64,362,31,170,9,5,1,169,295,1300,2,69,15,34,21,19,27,25,997,10
5.74,6,15,17,10,16,1,1,8,70,379,34,195,12,7,2,198,382,1327,0,56,28,26,19,26,43,33,1260,19
5.79,17,18,17,4,24,2,1,1,68,437,40,190,4,7,0,294,369,1215,2,84,31,26,20,31,37,23,1548,18
5.84,7,19,26,3,19,1,0,3,85,521,48,240,14,5,2,392,366,1144,0,67,28,34,24,31,24,26,1807,13
